Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721503436690,2770718.171081543,4700,1,0.30000000000000004,1425909.614440918,4700,1,0.30000000000000004,1902928.5344238281,4700,1,0.30000000000000004,1549249.2465515137,4700,1,0.30000000000000004,1562024.8000030518,4700,1,0.30000000000000004,1568957.1988983154,4700,1,0.30000000000000004,1591404.4030456543,4700,1,0.30000000000000004,1669768.2098999023,4700,1,0.30000000000000004,1847235.2759094238,4700,1,0.30000000000000004,1343728.4160461426,4700,1,0.30000000000000004,1337793.088043213,4700,1,0.30000000000000004,1409302.9169921875,4700,1,0.30000000000000004,211129950.31367493,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,66480525312,2147479552,40754913280,0
199,1721503436690,2770718.17326355,4700,1,0.30000000000000004,1425909.6171875,4700,1,0.30000000000000004,1902928.5486297607,4700,1,0.30000000000000004,1549249.2566833496,4700,1,0.30000000000000004,1562024.8022766113,4700,1,0.30000000000000004,1568957.2090454102,4700,1,0.30000000000000004,1591404.4052886963,4700,1,0.30000000000000004,1669768.2121887207,4700,1,0.30000000000000004,1847235.2777252197,4700,1,0.30000000000000004,1343728.4195098877,4700,1,0.30000000000000004,1337793.0914764404,4700,1,0.30000000000000004,1409302.9198913574,4700,1,0.30000000000000004,211129950.42414856,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,66480525312,2147479552,40758009856,0
199,1721503436890,2770718.4571228027,4700,1,0.30000000000000004,1425909.8699951172,4700,1,0.30000000000000004,1902929.440170288,4700,1,0.30000000000000004,1549249.5195007324,4700,1,0.30000000000000004,1562025.0935821533,4700,1,0.30000000000000004,1568957.6204681396,4700,1,0.30000000000000004,1591404.62840271,4700,1,0.30000000000000004,1669768.4553222656,4700,1,0.30000000000000004,1847235.5319824219,4700,1,0.30000000000000004,1343728.5727539063,4700,1,0.30000000000000004,1337793.2966461182,4700,1,0.30000000000000004,1409303.171508789,4700,1,0.30000000000000004,211129960.16334534,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,10,0,5,38.095237731933594,0,0,5.263157844543457,14.285715103149414,0,0,5,0,5.263157844543457,0,4.761904716491699,9.523809432983398,57.894737243652344,14.285715103149414,9.090909004211426,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,0,66480525312,2147479552,40766685184,0
199,1721503437090,2770718.826034546,4700,1,0.3062499999999999,1425910.2588806152,4700,1,0.3062499999999999,1902930.4166412354,4700,1,0.3062499999999999,1549249.8459777832,4700,1,0.3062499999999999,1562025.390838623,4700,1,0.3062499999999999,1568957.9693603516,4700,1,0.3062499999999999,1591404.8463134766,4700,1,0.3062499999999999,1669768.8347320557,4700,1,0.3062499999999999,1847235.8211517334,4700,1,0.3062499999999999,1343728.786819458,4700,1,0.3062499999999999,1337793.5527496338,4700,1,0.3062499999999999,1409303.4275054932,4700,1,0.3062499999999999,211129970.623703,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,15.000000953674316,5.555555820465088,20,100,10,9.523809432983398,14.285715103149414,0,0,9.523809432983398,5.263157844543457,19.047618865966797,5.263157844543457,5.263157844543457,5.263157844543457,11.111111640930176,5.263157844543457,15.000000953674316,5.263157844543457,20,0,5,0,5,66480525312,2147479552,40869183488,0
199,1721503437290,2770719.09173584,4700,1,0.30000000000000004,1425910.3466644287,4700,1,0.30000000000000004,1902931.3820495605,4700,1,0.30000000000000004,1549249.9922180176,4700,1,0.30000000000000004,1562025.549255371,4700,1,0.30000000000000004,1568958.0722503662,4700,1,0.30000000000000004,1591405.0709381104,4700,1,0.30000000000000004,1669769.1000671387,4700,1,0.30000000000000004,1847236.0404663086,4700,1,0.30000000000000004,1343728.9154968262,4700,1,0.30000000000000004,1337793.6647033691,4700,1,0.30000000000000004,1409303.4586029053,4700,1,0.30000000000000004,211129979.6901245,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,5,9.523809432983398,10,100,5.555555820465088,0,5,0,4.761904716491699,9.523809432983398,4.761904716491699,0,0,4.761904716491699,0,0,5,5,14.285715103149414,5.263157844543457,0,0,5,0,66480525312,2147479552,40868270080,0
199,1721503437491,2770719.156768799,4700,1,0.30000000000000004,1425910.3531799316,4700,1,0.30000000000000004,1902932.3238220215,4700,1,0.30000000000000004,1549250.0085754395,4700,1,0.30000000000000004,1562025.562133789,4700,1,0.30000000000000004,1568958.0803527832,4700,1,0.30000000000000004,1591405.1391601563,4700,1,0.30000000000000004,1669770.302734375,4700,1,0.30000000000000004,1847236.2383880615,4700,1,0.30000000000000004,1343728.9233703613,4700,1,0.30000000000000004,1337793.6714630127,4700,1,0.30000000000000004,1409303.465927124,4700,1,0.30000000000000004,211129988.6952057,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,0,0,0,100,0,0,4.761904716491699,0,0,60.000003814697266,0,0,0,0,0,0,0,0,0,40,0,0,0,0,66480525312,2147479552,40873672704,0
199,1721503437691,2770719.1792297363,4700,1,0.30000000000000004,1425910.4168243408,4700,1,0.30000000000000004,1902933.2599487305,4700,1,0.30000000000000004,1549250.025253296,4700,1,0.30000000000000004,1562025.570602417,4700,1,0.30000000000000004,1568958.0877075195,4700,1,0.30000000000000004,1591405.1517028809,4700,1,0.30000000000000004,1669771.4620819092,4700,1,0.30000000000000004,1847236.334411621,4700,1,0.30000000000000004,1343728.9304656982,4700,1,0.30000000000000004,1337793.7617492676,4700,1,0.30000000000000004,1409303.4788513184,4700,1,0.30000000000000004,211129997.8250122,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,0,4.761904716491699,0,100,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40878080000,0
199,1721503437891,2770719.195159912,4700,1,0.30000000000000004,1425910.423324585,4700,1,0.30000000000000004,1902934.2025299072,4700,1,0.30000000000000004,1549250.0325775146,4700,1,0.30000000000000004,1562025.5773010254,4700,1,0.30000000000000004,1568958.0967712402,4700,1,0.30000000000000004,1591405.169052124,4700,1,0.30000000000000004,1669773.2249908447,4700,1,0.30000000000000004,1847236.4057922363,4700,1,0.30000000000000004,1343728.947341919,4700,1,0.30000000000000004,1337793.8970336914,4700,1,0.30000000000000004,1409303.485031128,4700,1,0.30000000000000004,211130007.3171692,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,0,0,0,100,0,0,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40879603712,0
199,1721503438091,2770719.2146606445,4700,1,0.30000000000000004,1425910.4329528809,4700,1,0.30000000000000004,1902935.1440887451,4700,1,0.30000000000000004,1549250.0397491455,4700,1,0.30000000000000004,1562025.5840301514,4700,1,0.30000000000000004,1568958.107849121,4700,1,0.30000000000000004,1591405.1755065918,4700,1,0.30000000000000004,1669774.8064575195,4700,1,0.30000000000000004,1847236.5974121094,4700,1,0.30000000000000004,1343728.9592590332,4700,1,0.30000000000000004,1337793.9094085693,4700,1,0.30000000000000004,1409303.4928894043,4700,1,0.30000000000000004,211130016.70777893,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,4.761904716491699,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40885350400,0
199,1721503438291,2770719.4748687744,4700,1,0.3062499999999999,1425910.5363464355,4700,1,0.3062499999999999,1902936.0787506104,4700,1,0.3062499999999999,1549250.9371185303,4700,1,0.3062499999999999,1562025.837524414,4700,1,0.3062499999999999,1568958.2044830322,4700,1,0.3062499999999999,1591405.2218475342,4700,1,0.3062499999999999,1669775.093383789,4700,1,0.3062499999999999,1847236.9731292725,4700,1,0.3062499999999999,1343729.0043945313,4700,1,0.3062499999999999,1337794.0530700684,4700,1,0.3062499999999999,1409303.533782959,4700,1,0.3062499999999999,211130026.6759796,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,0,0,0,100,15.000000953674316,60.000003814697266,15.789472579956055,4.761904716491699,0,20,27.272727966308594,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,66480525312,2147479552,40898109440,0
