Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721503289842,2770441.6645965576,4700,1,0.30000000000000004,1425824.937347412,4700,1,0.30000000000000004,1902797.446258545,4700,1,0.30000000000000004,1549080.561416626,4700,1,0.30000000000000004,1561929.426651001,4700,1,0.30000000000000004,1568861.3916778564,4700,1,0.30000000000000004,1591263.9461669922,4700,1,0.30000000000000004,1669584.014175415,4700,1,0.30000000000000004,1847106.1800231934,4700,1,0.30000000000000004,1343638.7433166504,4700,1,0.30000000000000004,1337657.6003875732,4700,1,0.30000000000000004,1409209.5334777832,4700,1,0.30000000000000004,211123583.47917175,400,400,400,4688,400,4690,4690,400,400,400,400,400,400,4688,400,400,4690,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,66480525312,2147479552,40744390656,0
199,1721503289842,2770441.670928955,4700,1,0.30000000000000004,1425824.9389190674,4700,1,0.3062499999999999,1902797.455795288,4700,1,0.3062499999999999,1549080.563079834,4700,1,0.30000000000000004,1561929.4304656982,4700,1,0.30000000000000004,1568861.4068450928,4700,1,0.30000000000000004,1591263.9493103027,4700,1,0.30000000000000004,1669584.0161895752,4700,1,0.30000000000000004,1847106.1820220947,4700,1,0.30000000000000004,1343638.7449951172,4700,1,0.3062499999999999,1337657.6020812988,4700,1,0.3062499999999999,1409209.5349884033,4700,1,0.3062499999999999,211123583.58207703,400,400,400,4688,400,4690,4690,400,400,400,400,400,400,4688,400,400,4690,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,66480525312,2147479552,40747974656,0
199,1721503290042,2770441.9179992676,4700,1,0.30000000000000004,1425825.2009277344,4700,1,0.30000000000000004,1902798.3443756104,4700,1,0.30000000000000004,1549080.8812408447,4700,1,0.30000000000000004,1561929.7409057617,4700,1,0.30000000000000004,1568861.7021636963,4700,1,0.30000000000000004,1591264.157623291,4700,1,0.30000000000000004,1669584.2074890137,4700,1,0.30000000000000004,1847106.3780670166,4700,1,0.30000000000000004,1343638.9811096191,4700,1,0.30000000000000004,1337657.7979125977,4700,1,0.30000000000000004,1409209.740371704,4700,1,0.30000000000000004,211123593.1178894,400,400,400,4688,400,4690,4690,400,400,400,400,400,400,4688,400,400,4690,4690,400,400,400,400,400,400,13.636363983154297,5,5,0,0,10.526315689086914,5,9.523809432983398,9.523809432983398,0,0,0,4.761904716491699,0,9.523809432983398,10.526315689086914,90,10.526315689086914,4.761904716491699,9.090909004211426,9.090909004211426,4.761904716491699,0,5,66480525312,2147479552,40762597376,0
199,1721503290242,2770442.2530212402,4700,1,0.30000000000000004,1425825.5383300781,4700,1,0.30000000000000004,1902799.2752685547,4700,1,0.30000000000000004,1549081.3352661133,4700,1,0.30000000000000004,1561930.0650634766,4700,1,0.30000000000000004,1568862.0843200684,4700,1,0.30000000000000004,1591264.5888061523,4700,1,0.30000000000000004,1669584.5096435547,4700,1,0.30000000000000004,1847106.6766967773,4700,1,0.30000000000000004,1343639.2368621826,4700,1,0.30000000000000004,1337658.11227417,4700,1,0.30000000000000004,1409209.977722168,4700,1,0.30000000000000004,211123604.02416992,400,400,400,4688,400,4690,4690,400,400,400,400,400,400,4688,400,400,4690,4690,400,400,400,400,400,400,10,14.285715103149414,5.263157844543457,4.761904716491699,15.000000953674316,28.571430206298828,10,11.111111640930176,20,13.636363983154297,5,0,10,10,10,15.000000953674316,100,13.636363983154297,15.000000953674316,10,10,0,5.555555820465088,0,66480525312,2147479552,40863244288,0
199,1721503290442,2770442.3531951904,4700,1,0.30000000000000004,1425825.607345581,4700,1,0.30000000000000004,1902800.2185516357,4700,1,0.30000000000000004,1549081.4796142578,4700,1,0.30000000000000004,1561930.2397460938,4700,1,0.30000000000000004,1568862.3000183105,4700,1,0.30000000000000004,1591264.8868865967,4700,1,0.30000000000000004,1669584.6413269043,4700,1,0.30000000000000004,1847106.865737915,4700,1,0.30000000000000004,1343639.342803955,4700,1,0.30000000000000004,1337658.1910705566,4700,1,0.30000000000000004,1409210.11277771,4700,1,0.30000000000000004,211123613.01193237,400,400,400,4688,400,4690,4690,400,400,400,400,400,400,4688,400,400,4690,4690,400,400,400,400,400,400,0,4.761904716491699,4.761904716491699,0,5,4.761904716491699,5.263157844543457,5,4.761904716491699,0,0,0,0,0,0,0,100,0,15.000000953674316,5,0,0,0,9.523809432983398,66480525312,2147479552,40862457856,0
199,1721503290643,2770442.361343384,4700,1,0.30000000000000004,1425825.614654541,4700,1,0.30000000000000004,1902801.1603546143,4700,1,0.30000000000000004,1549081.488128662,4700,1,0.30000000000000004,1561930.2484588623,4700,1,0.30000000000000004,1568862.317199707,4700,1,0.30000000000000004,1591264.9034729004,4700,1,0.30000000000000004,1669585.8480377197,4700,1,0.30000000000000004,1847107.0523223877,4700,1,0.30000000000000004,1343639.3578186035,4700,1,0.30000000000000004,1337658.1984405518,4700,1,0.30000000000000004,1409210.1724853516,4700,1,0.30000000000000004,211123621.8953247,400,400,400,4688,400,4690,4690,400,400,400,400,400,400,4688,400,400,4690,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,94.73684692382813,0,0,0,0,0,0,100,4.761904716491699,0,0,0,0,0,0,66480525312,2147479552,40869449728,0
199,1721503290843,2770442.387084961,4700,1,0.30000000000000004,1425825.6222686768,4700,1,0.30000000000000004,1902802.0973510742,4700,1,0.30000000000000004,1549081.497390747,4700,1,0.30000000000000004,1561930.2584533691,4700,1,0.30000000000000004,1568862.3347930908,4700,1,0.30000000000000004,1591264.9182891846,4700,1,0.30000000000000004,1669586.975982666,4700,1,0.30000000000000004,1847107.2508392334,4700,1,0.30000000000000004,1343639.3961639404,4700,1,0.30000000000000004,1337658.2051239014,4700,1,0.30000000000000004,1409210.2329559326,4700,1,0.30000000000000004,211123631.052536,400,400,400,4688,400,4690,4690,400,400,400,400,400,400,4688,400,400,4690,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,100,0,0,0,0,4.761904716491699,0,0,66480525312,2147479552,40875155456,0
199,1721503291043,2770442.4051361084,4700,1,0.30000000000000004,1425825.6284179688,4700,1,0.30000000000000004,1902803.0386199951,4700,1,0.30000000000000004,1549081.5038757324,4700,1,0.30000000000000004,1561930.2657318115,4700,1,0.30000000000000004,1568862.3550872803,4700,1,0.30000000000000004,1591264.9353637695,4700,1,0.30000000000000004,1669588.7383117676,4700,1,0.30000000000000004,1847107.43850708,4700,1,0.30000000000000004,1343639.4074554443,4700,1,0.30000000000000004,1337658.2214813232,4700,1,0.30000000000000004,1409210.2391662598,4700,1,0.30000000000000004,211123640.5615387,400,400,400,4688,400,4690,4690,400,400,400,400,400,400,4688,400,400,4690,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,66480525312,2147479552,40876277760,0
199,1721503291243,2770442.411972046,4700,1,0.30000000000000004,1425825.6345672607,4700,1,0.30000000000000004,1902803.9798278809,4700,1,0.30000000000000004,1549081.5110321045,4700,1,0.30000000000000004,1561930.272277832,4700,1,0.30000000000000004,1568862.371307373,4700,1,0.30000000000000004,1591264.941558838,4700,1,0.30000000000000004,1669590.3520202637,4700,1,0.30000000000000004,1847107.6275024414,4700,1,0.30000000000000004,1343639.4250335693,4700,1,0.30000000000000004,1337658.227645874,4700,1,0.30000000000000004,1409210.2453460693,4700,1,0.30000000000000004,211123649.96032715,400,400,400,4688,400,4690,4690,400,400,400,400,400,400,4688,400,400,4690,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4.761904716491699,0,0,0,0,0,0,66480525312,2147479552,40881405952,0
199,1721503291443,2770443.0216064453,4700,1,0.3062499999999999,1425825.690246582,4700,1,0.3062499999999999,1902804.9187774658,4700,1,0.3062499999999999,1549081.6482391357,4700,1,0.3062499999999999,1561930.7658843994,4700,1,0.3062499999999999,1568862.4067993164,4700,1,0.3062499999999999,1591264.9871673584,4700,1,0.3062499999999999,1669590.8023986816,4700,1,0.3062499999999999,1847107.939300537,4700,1,0.3062499999999999,1343639.6018066406,4700,1,0.3062499999999999,1337658.2563934326,4700,1,0.3062499999999999,1409210.2850341797,4700,1,0.3062499999999999,211123659.7433777,400,400,400,4688,400,4690,4690,400,400,400,400,400,400,4688,400,400,4690,4690,400,400,400,400,400,400,35,9.523809432983398,0,0,0,0,0,0,0,31.57894515991211,0,0,36.842105865478516,0,0,0,100,5,0,0,14.285715103149414,5.263157844543457,0,0,66480525312,2147479552,40895328256,0
