Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721503567678,2770850.191635132,4700,1,0.30000000000000004,1425996.6884002686,4700,1,0.30000000000000004,1903103.086074829,4700,1,0.30000000000000004,1549333.8610839844,4700,1,0.30000000000000004,1562082.37449646,4700,1,0.30000000000000004,1569119.477218628,4700,1,0.30000000000000004,1591544.1786651611,4700,1,0.30000000000000004,1669930.60546875,4700,1,0.30000000000000004,1847432.1433563232,4700,1,0.30000000000000004,1343796.0207061768,4700,1,0.30000000000000004,1337839.9760742188,4700,1,0.30000000000000004,1409404.2020263672,4700,1,0.30000000000000004,211135624.33540344,400,400,400,400,400,400,400,400,400,4688,4690,400,400,400,400,400,4689,400,4690,400,400,400,400,400,3.22580623626709,0,0,0,0,0,3.3333334922790527,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,3.3333334922790527,0,66480525312,2147479552,40766951424,0
199,1721503567679,2770850.193496704,4700,1,0.30000000000000004,1425996.6904907227,4700,1,0.3062499999999999,1903103.0878295898,4700,1,0.3062499999999999,1549333.8621063232,4700,1,0.30000000000000004,1562082.3898773193,4700,1,0.30000000000000004,1569119.4891662598,4700,1,0.30000000000000004,1591544.1802062988,4700,1,0.30000000000000004,1669930.6078796387,4700,1,0.30000000000000004,1847432.157836914,4700,1,0.30000000000000004,1343796.024307251,4700,1,0.3062499999999999,1337839.9783935547,4700,1,0.3062499999999999,1409404.2035675049,4700,1,0.3062499999999999,211135624.44172668,400,400,400,400,400,400,400,400,400,4688,4690,400,400,400,400,400,4689,400,4690,400,400,400,400,400,3.22580623626709,0,0,0,0,0,3.3333334922790527,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,3.3333334922790527,0,66480525312,2147479552,40769531904,0
199,1721503567879,2770850.3040008545,4700,1,0.30000000000000004,1425996.9334259033,4700,1,0.30000000000000004,1903103.1934509277,4700,1,0.30000000000000004,1549333.9227294922,4700,1,0.30000000000000004,1562082.4903564453,4700,1,0.30000000000000004,1569119.5988616943,4700,1,0.30000000000000004,1591544.298675537,4700,1,0.30000000000000004,1669930.8578338623,4700,1,0.30000000000000004,1847433.0608520508,4700,1,0.30000000000000004,1343796.1183624268,4700,1,0.30000000000000004,1337840.1598052979,4700,1,0.30000000000000004,1409404.3488464355,4700,1,0.30000000000000004,211135633.17489624,400,400,400,400,400,400,400,400,400,4688,4690,400,400,400,400,400,4689,400,4690,400,400,400,400,400,4.761904716491699,0,0,4.761904716491699,0,0,4.545454502105713,9.090909004211426,4.761904716491699,10.526315689086914,95.23809814453125,0,4.545454502105713,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,9.523809432983398,4.761904716491699,66480525312,2147479552,40780783616,0
199,1721503568079,2770850.356567383,4700,1,0.30000000000000004,1425997.075454712,4700,1,0.30000000000000004,1903103.281402588,4700,1,0.30000000000000004,1549333.9754943848,4700,1,0.30000000000000004,1562082.5833892822,4700,1,0.30000000000000004,1569119.6459503174,4700,1,0.30000000000000004,1591544.3695983887,4700,1,0.30000000000000004,1669930.9635772705,4700,1,0.30000000000000004,1847434.0069885254,4700,1,0.30000000000000004,1343796.2754211426,4700,1,0.30000000000000004,1337840.2244262695,4700,1,0.30000000000000004,1409404.3999328613,4700,1,0.30000000000000004,211135641.35740662,400,400,400,400,400,400,400,400,400,4688,4690,400,400,400,400,400,4689,400,4690,400,400,400,400,400,0,0,0,5.263157844543457,5,0,5,0,0,9.523809432983398,100,9.523809432983398,0,0,0,0,0,0,9.523809432983398,0,0,0,0,4.761904716491699,66480525312,2147479552,40780783616,0
199,1721503568279,2770850.454208374,4700,1,0.30000000000000004,1425997.230331421,4700,1,0.30000000000000004,1903103.3757019043,4700,1,0.30000000000000004,1549334.0540161133,4700,1,0.30000000000000004,1562082.7600708008,4700,1,0.30000000000000004,1569119.737121582,4700,1,0.30000000000000004,1591544.4986114502,4700,1,0.30000000000000004,1669931.2317352295,4700,1,0.30000000000000004,1847434.9279632568,4700,1,0.30000000000000004,1343796.4431762695,4700,1,0.30000000000000004,1337840.3236694336,4700,1,0.30000000000000004,1409404.5050201416,4700,1,0.30000000000000004,211135650.12112427,400,400,400,400,400,400,400,400,400,4688,4690,400,400,400,400,400,4689,400,4690,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,100,0,0,4.761904716491699,0,0,0,0,0,23.809524536132813,0,0,0,0,66480525312,2147479552,40783065088,0
199,1721503568479,2770850.6349639893,4700,1,0.30000000000000004,1425997.449005127,4700,1,0.30000000000000004,1903103.6448669434,4700,1,0.30000000000000004,1549334.2391357422,4700,1,0.30000000000000004,1562082.9784851074,4700,1,0.30000000000000004,1569119.907119751,4700,1,0.30000000000000004,1591544.733001709,4700,1,0.30000000000000004,1669931.4858551025,4700,1,0.30000000000000004,1847435.8918151855,4700,1,0.30000000000000004,1343796.8132324219,4700,1,0.30000000000000004,1337840.5189208984,4700,1,0.30000000000000004,1409404.722579956,4700,1,0.30000000000000004,211135660.05848694,400,400,400,400,400,400,400,400,400,4688,4690,400,400,400,400,400,4689,400,4690,400,400,400,400,400,10,4.761904716491699,9.523809432983398,10,9.523809432983398,9.523809432983398,5.263157844543457,0,5.263157844543457,5.263157844543457,100,15.000000953674316,5,10,10,18.18181800842285,14.285715103149414,5.263157844543457,10,10,0,10.526315689086914,13.636363983154297,9.523809432983398,66480525312,2147479552,40875307008,0
199,1721503568679,2770850.6445770264,4700,1,0.30000000000000004,1425997.4815216064,4700,1,0.30000000000000004,1903103.7514343262,4700,1,0.30000000000000004,1549334.2477111816,4700,1,0.30000000000000004,1562082.996170044,4700,1,0.30000000000000004,1569119.9140625,4700,1,0.30000000000000004,1591544.741607666,4700,1,0.30000000000000004,1669931.4930725098,4700,1,0.30000000000000004,1847436.8283996582,4700,1,0.30000000000000004,1343797.021621704,4700,1,0.30000000000000004,1337840.533050537,4700,1,0.30000000000000004,1409404.7297210693,4700,1,0.30000000000000004,211135667.88035583,400,400,400,400,400,400,400,400,400,4688,4690,400,400,400,400,400,4689,400,4690,400,400,400,400,400,10,4.761904716491699,9.523809432983398,10,9.523809432983398,9.523809432983398,5.263157844543457,0,5.263157844543457,5.263157844543457,100,15.000000953674316,5,10,10,18.18181800842285,14.285715103149414,5.263157844543457,10,10,0,10.526315689086914,13.636363983154297,9.523809432983398,66480525312,2147479552,40875565056,0
199,1721503568879,2770850.7772521973,4700,1,0.30000000000000004,1425997.5609283447,4700,1,0.30000000000000004,1903103.8758392334,4700,1,0.30000000000000004,1549334.3863677979,4700,1,0.30000000000000004,1562083.1373596191,4700,1,0.30000000000000004,1569120.013595581,4700,1,0.30000000000000004,1591544.835784912,4700,1,0.30000000000000004,1669931.6675720215,4700,1,0.30000000000000004,1847437.772140503,4700,1,0.30000000000000004,1343797.131729126,4700,1,0.30000000000000004,1337840.7022094727,4700,1,0.30000000000000004,1409404.8834991455,4700,1,0.30000000000000004,211135676.44543457,400,400,400,400,400,400,400,400,400,4688,4690,400,400,400,400,400,4689,400,4690,400,400,400,400,400,0,0,0,5,0,5,4.878048419952393,2.5,0,2.4390242099761963,100,4.878048419952393,0,0,4.761904716491699,2.5,0,2.4390242099761963,0,5,0,0,0,2.4390242099761963,66480525312,2147479552,40910176256,0
199,1721503569079,2770850.813064575,4700,1,0.30000000000000004,1425997.6354980469,4700,1,0.30000000000000004,1903103.9028320313,4700,1,0.30000000000000004,1549334.4214935303,4700,1,0.30000000000000004,1562083.167098999,4700,1,0.30000000000000004,1569120.1706542969,4700,1,0.30000000000000004,1591544.895828247,4700,1,0.30000000000000004,1669931.7445373535,4700,1,0.30000000000000004,1847438.7122497559,4700,1,0.30000000000000004,1343797.1672363281,4700,1,0.30000000000000004,1337840.9060516357,4700,1,0.30000000000000004,1409404.9615478516,4700,1,0.30000000000000004,211135684.5775299,400,400,400,400,400,400,400,400,400,4688,4690,400,400,400,400,400,4689,400,4690,400,400,400,400,400,4.761904716491699,5.263157844543457,0,0,0,0,5,10,0,0,100,5,0,0,0,9.523809432983398,0,0,0,0,0,0,0,0,66480525312,2147479552,40885063680,0
199,1721503569279,2770850.82673645,4700,1,0.30000000000000004,1425997.6419525146,4700,1,0.30000000000000004,1903103.9095611572,4700,1,0.30000000000000004,1549334.4532165527,4700,1,0.30000000000000004,1562083.1894836426,4700,1,0.30000000000000004,1569120.1865386963,4700,1,0.30000000000000004,1591544.9148101807,4700,1,0.30000000000000004,1669931.792816162,4700,1,0.30000000000000004,1847439.6556549072,4700,1,0.30000000000000004,1343797.1777191162,4700,1,0.30000000000000004,1337840.9143371582,4700,1,0.30000000000000004,1409405.1550750732,4700,1,0.30000000000000004,211135692.34909058,400,400,400,400,400,400,400,400,400,4688,4690,400,400,400,400,400,4689,400,4690,400,400,400,400,400,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,13.636363983154297,100,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,66480525312,2147479552,40885968896,0
