Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721502855665,2769789.7155303955,4700,1,0.30000000000000004,1425629.0156555176,4700,1,0.30000000000000004,1902610.8254089355,4700,1,0.30000000000000004,1548577.2747955322,4700,1,0.30000000000000004,1561609.9993743896,4700,1,0.30000000000000004,1568496.7903747559,4700,1,0.30000000000000004,1590867.77293396,4700,1,0.30000000000000004,1669070.0901641846,4700,1,0.30000000000000004,1846492.7514190674,4700,1,0.30000000000000004,1343379.7516174316,4700,1,0.30000000000000004,1337404.3179473877,4700,1,0.30000000000000004,1408925.5027008057,4700,1,0.30000000000000004,211104960.5389862,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4690,400,400,4690,400,400,400,4690,400,400,0,0,4.1666669845581055,0,0,4,0,0,0,0,0,0,0,0,0,0,0,100,0,0,4,0,0,0,66480525312,2147479552,40731955200,0
199,1721502855666,2769789.7195129395,4700,1,0.30000000000000004,1425629.0252685547,4700,1,0.3062499999999999,1902610.8358306885,4700,1,0.3062499999999999,1548577.2769927979,4700,1,0.30000000000000004,1561610.0014801025,4700,1,0.30000000000000004,1568496.8052825928,4700,1,0.30000000000000004,1590867.7745056152,4700,1,0.3062499999999999,1669070.0919189453,4700,1,0.3062499999999999,1846492.7528381348,4700,1,0.3062499999999999,1343379.7532958984,4700,1,0.3062499999999999,1337404.3192443848,4700,1,0.3062499999999999,1408925.504272461,4700,1,0.3062499999999999,211104960.6392975,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4690,400,400,4690,400,400,400,4690,400,400,0,0,4.1666669845581055,0,0,4,0,0,0,0,0,0,0,0,0,0,0,100,0,0,4,0,0,0,66480525312,2147479552,40735023104,0
199,1721502855866,2769789.91645813,4700,1,0.30000000000000004,1425629.343963623,4700,1,0.30000000000000004,1902611.0042266846,4700,1,0.30000000000000004,1548577.4805603027,4700,1,0.30000000000000004,1561610.172592163,4700,1,0.30000000000000004,1568497.7728271484,4700,1,0.30000000000000004,1590868.0058288574,4700,1,0.30000000000000004,1669070.3421173096,4700,1,0.30000000000000004,1846492.9182128906,4700,1,0.30000000000000004,1343379.890411377,4700,1,0.30000000000000004,1337404.5210266113,4700,1,0.30000000000000004,1408925.716644287,4700,1,0.30000000000000004,211104970.20433044,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4690,400,400,4690,400,400,400,4690,400,400,0,4.761904716491699,0,5,9.523809432983398,5,0,0,0,0,0,0,0,0,4.761904716491699,10.526315689086914,5,95.23809814453125,0,5,5.263157844543457,0,5.263157844543457,0,66480525312,2147479552,40738631680,0
199,1721502856066,2769790.264404297,4700,1,0.30000000000000004,1425629.7189178467,4700,1,0.30000000000000004,1902611.2976074219,4700,1,0.30000000000000004,1548577.7470703125,4700,1,0.30000000000000004,1561610.4480438232,4700,1,0.30000000000000004,1568498.7367706299,4700,1,0.30000000000000004,1590868.3710021973,4700,1,0.30000000000000004,1669070.6964569092,4700,1,0.30000000000000004,1846493.19430542,4700,1,0.30000000000000004,1343380.1433868408,4700,1,0.30000000000000004,1337404.7903137207,4700,1,0.30000000000000004,1408926.0634613037,4700,1,0.30000000000000004,211104980.82725525,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4690,400,400,4690,400,400,400,4690,400,400,14.285715103149414,10,10.526315689086914,5.263157844543457,5.263157844543457,10.526315689086914,5,5,14.285715103149414,10.526315689086914,5,5.263157844543457,10,10,15.789472579956055,20,14.285715103149414,100,10,5,9.523809432983398,10,9.523809432983398,13.636363983154297,66480525312,2147479552,40836751360,0
199,1721502856266,2769790.3165740967,4700,1,0.30000000000000004,1425629.8979949951,4700,1,0.30000000000000004,1902611.3958435059,4700,1,0.30000000000000004,1548577.9106903076,4700,1,0.30000000000000004,1561610.5930023193,4700,1,0.30000000000000004,1568499.7509613037,4700,1,0.30000000000000004,1590868.5246429443,4700,1,0.30000000000000004,1669070.8161773682,4700,1,0.30000000000000004,1846493.3153839111,4700,1,0.30000000000000004,1343380.3118743896,4700,1,0.30000000000000004,1337404.900238037,4700,1,0.30000000000000004,1408926.1487426758,4700,1,0.30000000000000004,211104989.42297363,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4690,400,400,4690,400,400,400,4690,400,400,0,0,14.285715103149414,0,0,14.285715103149414,14.285715103149414,21.052631378173828,10,0,0,10,0,0,0,0,0,76.19047546386719,4.761904716491699,5,5,0,0,0,66480525312,2147479552,40868737024,0
199,1721502856466,2769790.362716675,4700,1,0.30000000000000004,1425630.5922546387,4700,1,0.30000000000000004,1902611.5666046143,4700,1,0.30000000000000004,1548577.9770355225,4700,1,0.30000000000000004,1561610.6803131104,4700,1,0.30000000000000004,1568500.7476501465,4700,1,0.30000000000000004,1590868.7696533203,4700,1,0.30000000000000004,1669070.8959197998,4700,1,0.30000000000000004,1846493.473236084,4700,1,0.30000000000000004,1343380.4597473145,4700,1,0.30000000000000004,1337405.0353851318,4700,1,0.30000000000000004,1408926.2103881836,4700,1,0.30000000000000004,211104998.67131042,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4690,400,400,4690,400,400,400,4690,400,400,0,0,0,4.761904716491699,0,0,0,100,0,0,5,0,0,0,0,55,4.761904716491699,0,4.761904716491699,0,4.761904716491699,9.523809432983398,0,4.761904716491699,66480525312,2147479552,40842928128,0
199,1721502856666,2769790.371398926,4700,1,0.30000000000000004,1425631.7624816895,4700,1,0.30000000000000004,1902611.5863800049,4700,1,0.30000000000000004,1548577.9839935303,4700,1,0.30000000000000004,1561610.688659668,4700,1,0.30000000000000004,1568501.7387542725,4700,1,0.30000000000000004,1590868.9765167236,4700,1,0.30000000000000004,1669070.90234375,4700,1,0.30000000000000004,1846493.492034912,4700,1,0.30000000000000004,1343380.4764556885,4700,1,0.30000000000000004,1337405.0443267822,4700,1,0.30000000000000004,1408926.2194366455,4700,1,0.30000000000000004,211105007.77949524,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4690,400,400,4690,400,400,400,4690,400,400,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,5,0,0,0,0,0,66480525312,2147479552,40849489920,0
199,1721502856866,2769790.3806610107,4700,1,0.30000000000000004,1425633.1522369385,4700,1,0.30000000000000004,1902611.6455230713,4700,1,0.30000000000000004,1548577.9910583496,4700,1,0.30000000000000004,1561610.7063903809,4700,1,0.30000000000000004,1568502.7333526611,4700,1,0.30000000000000004,1590869.21043396,4700,1,0.30000000000000004,1669070.9088134766,4700,1,0.30000000000000004,1846493.510421753,4700,1,0.30000000000000004,1343380.4934997559,4700,1,0.30000000000000004,1337405.0619049072,4700,1,0.30000000000000004,1408926.2260894775,4700,1,0.30000000000000004,211105017.23277283,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4690,400,400,4690,400,400,400,4690,400,400,0,0,0,4.761904716491699,0,0,0,100,0,0,0,0,4.761904716491699,0,0,90,0,0,0,0,4.761904716491699,5,4.761904716491699,0,66480525312,2147479552,40852664320,0
199,1721502857066,2769790.3886413574,4700,1,0.30000000000000004,1425634.7898254395,4700,1,0.30000000000000004,1902611.6523132324,4700,1,0.30000000000000004,1548577.9979248047,4700,1,0.30000000000000004,1561610.712524414,4700,1,0.30000000000000004,1568503.7247314453,4700,1,0.30000000000000004,1590869.4367675781,4700,1,0.30000000000000004,1669070.9151000977,4700,1,0.30000000000000004,1846493.5321044922,4700,1,0.30000000000000004,1343380.4996643066,4700,1,0.30000000000000004,1337405.0680389404,4700,1,0.30000000000000004,1408926.232284546,4700,1,0.30000000000000004,211105026.73518372,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4690,400,400,4690,400,400,400,4690,400,400,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,66480525312,2147479552,40854908928,0
199,1721502857267,2769790.4182891846,4700,1,0.3062499999999999,1425635.5353393555,4700,1,0.3062499999999999,1902611.6863708496,4700,1,0.3062499999999999,1548578.0129241943,4700,1,0.3062499999999999,1561610.7469482422,4700,1,0.3062499999999999,1568504.7267913818,4700,1,0.3062499999999999,1590869.688293457,4700,1,0.3062499999999999,1669071.3334960938,4700,1,0.3062499999999999,1846493.6317749023,4700,1,0.3062499999999999,1343380.5625305176,4700,1,0.3062499999999999,1337405.1000671387,4700,1,0.3062499999999999,1408926.2613983154,4700,1,0.3062499999999999,211105036.1012268,400,400,400,400,400,400,400,400,400,400,4690,400,400,400,4690,400,400,4690,400,400,400,4690,400,400,0,0,0,0,0,0,0,100,0,0,14.285715103149414,0,0,0,0,61.904762268066406,0,0,0,30.000001907348633,5,0,0,0,66480525312,2147479552,40866066432,0
