Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721499062286,2764554.577529907,4700,1,0.30000000000000004,1422814.3527832031,4700,1,0.30000000000000004,1899075.6967163086,4700,1,0.30000000000000004,1545520.4907989502,4700,1,0.30000000000000004,1558910.02293396,4700,1,0.30000000000000004,1565412.7435760498,4700,1,0.30000000000000004,1587650.2473449707,4700,1,0.30000000000000004,1666012.1568756104,4700,1,0.30000000000000004,1841908.7671661377,4700,1,0.30000000000000004,1340125.3863830566,4700,1,0.30000000000000004,1334529.7789459229,4700,1,0.30000000000000004,1406248.5666046143,4700,1,0.30000000000000004,210941069.80690002,400,400,400,4689,400,400,4687,400,400,400,400,400,400,400,400,4690,400,4690,4690,400,400,400,400,400,3.846153974533081,0,4,3.846153974533081,4,4,0,0,0,4.1666669845581055,4,0,0,0,4,0,4,100,3.846153974533081,3.846153974533081,0,4,0,0,66480525312,2147479552,40767782912,0
199,1721499062287,2764554.579788208,4700,1,0.30000000000000004,1422814.3536987305,4700,1,0.30000000000000004,1899075.697982788,4700,1,0.30000000000000004,1545520.4921875,4700,1,0.30000000000000004,1558910.0243225098,4700,1,0.30000000000000004,1565412.753692627,4700,1,0.30000000000000004,1587650.248626709,4700,1,0.30000000000000004,1666012.1673583984,4700,1,0.30000000000000004,1841908.7775421143,4700,1,0.30000000000000004,1340125.3882141113,4700,1,0.30000000000000004,1334529.779953003,4700,1,0.30000000000000004,1406248.5676269531,4700,1,0.30000000000000004,210941069.90937805,400,400,400,4689,400,400,4687,400,400,400,400,400,400,400,400,4690,400,4690,4690,400,400,400,400,400,3.846153974533081,0,4,3.846153974533081,4,4,0,0,0,4.1666669845581055,4,0,0,0,4,0,4,100,3.846153974533081,3.846153974533081,0,4,0,0,66480525312,2147479552,40770334720,0
199,1721499062487,2764554.7402801514,4700,1,0.30000000000000004,1422814.5091247559,4700,1,0.30000000000000004,1899075.9701080322,4700,1,0.30000000000000004,1545520.6260986328,4700,1,0.30000000000000004,1558910.142730713,4700,1,0.30000000000000004,1565413.7426757813,4700,1,0.30000000000000004,1587650.372619629,4700,1,0.30000000000000004,1666012.360534668,4700,1,0.30000000000000004,1841908.9700164795,4700,1,0.30000000000000004,1340125.646408081,4700,1,0.30000000000000004,1334529.9269561768,4700,1,0.30000000000000004,1406248.827331543,4700,1,0.30000000000000004,210941079.08058167,400,400,400,4689,400,400,4687,400,400,400,400,400,400,400,400,4690,400,4690,4690,400,400,400,400,400,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,9.523809432983398,9.523809432983398,5,4.761904716491699,4.761904716491699,14.285715103149414,0,5,100,0,0,4.761904716491699,5,0,9.523809432983398,66480525312,2147479552,40777920512,0
199,1721499062687,2764554.8285217285,4700,1,0.31874999999999987,1422814.566329956,4700,1,0.31874999999999987,1899076.157485962,4700,1,0.31874999999999987,1545520.7011413574,4700,1,0.31874999999999987,1558910.290863037,4700,1,0.31874999999999987,1565414.7157287598,4700,1,0.31874999999999987,1587650.4440307617,4700,1,0.31874999999999987,1666012.441329956,4700,1,0.31874999999999987,1841909.0838775635,4700,1,0.31874999999999987,1340125.7687225342,4700,1,0.31874999999999987,1334530.0746612549,4700,1,0.31874999999999987,1406248.9963684082,4700,1,0.31874999999999987,210941087.8383026,400,400,400,4689,400,400,4687,400,400,400,400,400,400,400,400,4690,400,4690,4690,400,400,400,400,400,0,0,0,5,4.761904716491699,0,0,0,0,0,0,4.761904716491699,5.263157844543457,4.761904716491699,14.285715103149414,0,0,95.23809814453125,0,0,0,0,0,0,66480525312,2147479552,40776765440,0
199,1721499062887,2764555.054824829,4700,1,0.30000000000000004,1422814.9293365479,4700,1,0.30000000000000004,1899076.6177978516,4700,1,0.30000000000000004,1545520.9871368408,4700,1,0.30000000000000004,1558910.478088379,4700,1,0.30000000000000004,1565415.7212982178,4700,1,0.30000000000000004,1587650.7348327637,4700,1,0.30000000000000004,1666012.638458252,4700,1,0.30000000000000004,1841909.4345245361,4700,1,0.30000000000000004,1340126.144821167,4700,1,0.30000000000000004,1334530.3580169678,4700,1,0.30000000000000004,1406249.3455810547,4700,1,0.30000000000000004,210941098.50657654,400,400,400,4689,400,400,4687,400,400,400,400,400,400,400,400,4690,400,4690,4690,400,400,400,400,400,0,0,0,5,4.761904716491699,0,0,0,0,0,0,4.761904716491699,5.263157844543457,4.761904716491699,14.285715103149414,0,0,95.23809814453125,0,0,0,0,0,0,66480525312,2147479552,40897134592,0
199,1721499063087,2764555.1187286377,4700,1,0.30000000000000004,1422815.305923462,4700,1,0.30000000000000004,1899076.7398834229,4700,1,0.30000000000000004,1545521.1403808594,4700,1,0.30000000000000004,1558910.6020050049,4700,1,0.30000000000000004,1565416.7198791504,4700,1,0.30000000000000004,1587650.9095611572,4700,1,0.30000000000000004,1666012.7061157227,4700,1,0.30000000000000004,1841909.603088379,4700,1,0.30000000000000004,1340126.239227295,4700,1,0.30000000000000004,1334530.518875122,4700,1,0.30000000000000004,1406249.4651947021,4700,1,0.30000000000000004,210941107.41986084,400,400,400,4689,400,400,4687,400,400,400,400,400,400,400,400,4690,400,4690,4690,400,400,400,400,400,5,0,20.512821197509766,12.195121765136719,2.5,2.5,9.756096839904785,90.47618865966797,5,0,5.263157844543457,7.500000476837158,2.5,7.692307949066162,10.526315689086914,12.5,10,7.500000476837158,4.878048419952393,5,5.128205299377441,5.128205299377441,7.317072868347168,5,66480525312,2147479552,40883466240,0
199,1721499063287,2764555.1262664795,4700,1,0.30000000000000004,1422816.4821014404,4700,1,0.30000000000000004,1899076.7495117188,4700,1,0.30000000000000004,1545521.1469268799,4700,1,0.30000000000000004,1558910.6119689941,4700,1,0.30000000000000004,1565417.7145690918,4700,1,0.30000000000000004,1587651.1398773193,4700,1,0.30000000000000004,1666012.7337799072,4700,1,0.30000000000000004,1841909.6192626953,4700,1,0.30000000000000004,1340126.245803833,4700,1,0.30000000000000004,1334530.5256958008,4700,1,0.30000000000000004,1406249.4750061035,4700,1,0.30000000000000004,210941116.6157074,400,400,400,4689,400,400,4687,400,400,400,400,400,400,400,400,4690,400,4690,4690,400,400,400,400,400,0,0,15.000000953674316,0,0,0,0,100,4.761904716491699,0,0,0,0,0,0,81.81818389892578,0,0,0,0,0,0,0,0,66480525312,2147479552,40891555840,0
199,1721499063487,2764555.139465332,4700,1,0.30000000000000004,1422817.7725524902,4700,1,0.30000000000000004,1899076.774597168,4700,1,0.30000000000000004,1545521.312072754,4700,1,0.30000000000000004,1558910.6219177246,4700,1,0.30000000000000004,1565418.7040405273,4700,1,0.30000000000000004,1587651.1848449707,4700,1,0.30000000000000004,1666012.748046875,4700,1,0.30000000000000004,1841909.6982269287,4700,1,0.30000000000000004,1340126.2590026855,4700,1,0.30000000000000004,1334530.533065796,4700,1,0.30000000000000004,1406249.4816741943,4700,1,0.30000000000000004,210941125.8387146,400,400,400,4689,400,400,4687,400,400,400,400,400,400,400,400,4690,400,4690,4690,400,400,400,400,400,4.761904716491699,0,50,0,0,0,0,100,0,0,0,0,0,0,0,44.4444465637207,0,0,0,0,0,0,0,0,66480525312,2147479552,40894316544,0
199,1721499063687,2764555.145629883,4700,1,0.30000000000000004,1422819.394897461,4700,1,0.30000000000000004,1899076.7812805176,4700,1,0.30000000000000004,1545521.539642334,4700,1,0.30000000000000004,1558910.628189087,4700,1,0.30000000000000004,1565419.7001495361,4700,1,0.30000000000000004,1587651.192352295,4700,1,0.30000000000000004,1666012.7707824707,4700,1,0.30000000000000004,1841909.7043762207,4700,1,0.30000000000000004,1340126.2652130127,4700,1,0.30000000000000004,1334530.5391693115,4700,1,0.30000000000000004,1406249.488067627,4700,1,0.30000000000000004,210941135.10127258,400,400,400,4689,400,400,4687,400,400,400,400,400,400,400,400,4690,400,4690,4690,400,400,400,400,400,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40895528960,0
199,1721499063887,2764555.1534576416,4700,1,0.30000000000000004,1422820.5405426025,4700,1,0.30000000000000004,1899076.943435669,4700,1,0.30000000000000004,1545521.7725830078,4700,1,0.30000000000000004,1558910.6345672607,4700,1,0.30000000000000004,1565420.694152832,4700,1,0.30000000000000004,1587651.2007904053,4700,1,0.30000000000000004,1666012.7997589111,4700,1,0.30000000000000004,1841909.7147369385,4700,1,0.30000000000000004,1340126.2718353271,4700,1,0.30000000000000004,1334530.5474243164,4700,1,0.30000000000000004,1406249.4966888428,4700,1,0.30000000000000004,210941144.20429993,400,400,400,4689,400,400,4687,400,400,400,400,400,400,400,400,4690,400,4690,4690,400,400,400,400,400,0,0,85.71428680419922,5.263157844543457,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40902311936,0
