Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721505275902,2773270.9666290283,4700,1,0.30000000000000004,1427190.5718536377,4700,1,0.30000000000000004,1904460.9094543457,4700,1,0.30000000000000004,1550591.9550323486,4700,1,0.30000000000000004,1563307.7616729736,4700,1,0.30000000000000004,1570520.0517730713,4700,1,0.30000000000000004,1593561.404083252,4700,1,0.30000000000000004,1671625.0599822998,4700,1,0.30000000000000004,1849316.4557647705,4700,1,0.30000000000000004,1344955.8800354004,4700,1,0.30000000000000004,1338948.0864562988,4700,1,0.30000000000000004,1410762.492263794,4700,1,0.30000000000000004,211209246.83599854,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,4690,400,400,4690,400,0,0,0,0,100,0,0,0,0,0,0,0,0,0,4,8,0,0,0,3.846153974533081,0,0,0,0,66480525312,2147479552,40768344064,0
199,1721505275902,2773270.976837158,4700,1,0.30000000000000004,1427190.581665039,4700,1,0.3062499999999999,1904460.9104614258,4700,1,0.3062499999999999,1550591.9586486816,4700,1,0.30000000000000004,1563307.7633361816,4700,1,0.30000000000000004,1570520.0537109375,4700,1,0.30000000000000004,1593561.4061431885,4700,1,0.30000000000000004,1671625.0618591309,4700,1,0.30000000000000004,1849316.4672088623,4700,1,0.3062499999999999,1344955.8815002441,4700,1,0.3062499999999999,1338948.0882263184,4700,1,0.3062499999999999,1410762.4939422607,4700,1,0.3062499999999999,211209246.9341278,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,4690,400,400,4690,400,0,0,0,0,100,0,0,0,0,0,0,0,0,0,4,8,0,0,0,3.846153974533081,0,0,0,0,66480525312,2147479552,40769892352,0
199,1721505276103,2773271.9159698486,4700,1,0.30000000000000004,1427190.8481140137,4700,1,0.30000000000000004,1904461.1657104492,4700,1,0.30000000000000004,1550592.1979522705,4700,1,0.30000000000000004,1563307.9826507568,4700,1,0.30000000000000004,1570520.3485565186,4700,1,0.30000000000000004,1593561.756515503,4700,1,0.30000000000000004,1671625.3372039795,4700,1,0.30000000000000004,1849316.65574646,4700,1,0.30000000000000004,1344956.045349121,4700,1,0.30000000000000004,1338948.3400878906,4700,1,0.30000000000000004,1410762.7437591553,4700,1,0.30000000000000004,211209256.6114502,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,4690,400,400,4690,400,35,0,0,0,60.000003814697266,0,4.761904716491699,0,5.263157844543457,0,0,0,0,10.526315689086914,5,14.285715103149414,14.285715103149414,5,9.523809432983398,0,9.090909004211426,0,0,9.523809432983398,66480525312,2147479552,40778289152,0
199,1721505276303,2773272.9301757813,4700,1,0.3062499999999999,1427191.0702514648,4700,1,0.3062499999999999,1904461.454208374,4700,1,0.3062499999999999,1550592.4909667969,4700,1,0.3062499999999999,1563308.3088684082,4700,1,0.3062499999999999,1570520.697631836,4700,1,0.3062499999999999,1593562.1479644775,4700,1,0.3062499999999999,1671625.693862915,4700,1,0.3062499999999999,1849316.9270477295,4700,1,0.3062499999999999,1344956.3137207031,4700,1,0.3062499999999999,1338948.5504455566,4700,1,0.3062499999999999,1410763.167602539,4700,1,0.3062499999999999,211209267.29945374,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,4690,400,400,4690,400,100,5.263157844543457,5,10,0,5.263157844543457,5.263157844543457,10.526315689086914,5.263157844543457,10.526315689086914,5,14.285715103149414,15.000000953674316,5,25,10,5.555555820465088,9.523809432983398,19.047618865966797,10,10.526315689086914,10,5,25,66480525312,2147479552,40881582080,0
199,1721505276503,2773273.9383239746,4700,1,0.30000000000000004,1427191.257659912,4700,1,0.30000000000000004,1904461.644683838,4700,1,0.30000000000000004,1550592.576171875,4700,1,0.30000000000000004,1563308.4191741943,4700,1,0.30000000000000004,1570520.7609558105,4700,1,0.30000000000000004,1593562.3141937256,4700,1,0.30000000000000004,1671625.8911437988,4700,1,0.30000000000000004,1849317.040435791,4700,1,0.30000000000000004,1344956.536895752,4700,1,0.30000000000000004,1338948.7215423584,4700,1,0.30000000000000004,1410763.3072357178,4700,1,0.30000000000000004,211209276.09294128,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,4690,400,400,4690,400,55,0,4.761904716491699,0,45,0,5,5,0,4.761904716491699,0,15.000000953674316,0,0,5,10,9.523809432983398,0,0,0,5,0,5,5,66480525312,2147479552,40868864000,0
199,1721505276703,2773274.9272766113,4700,1,0.30000000000000004,1427191.2852783203,4700,1,0.30000000000000004,1904461.6520843506,4700,1,0.30000000000000004,1550592.5888671875,4700,1,0.30000000000000004,1563308.494064331,4700,1,0.30000000000000004,1570520.7701416016,4700,1,0.30000000000000004,1593562.55128479,4700,1,0.30000000000000004,1671625.8993377686,4700,1,0.30000000000000004,1849317.0473480225,4700,1,0.30000000000000004,1344956.544342041,4700,1,0.30000000000000004,1338949.8489685059,4700,1,0.30000000000000004,1410763.3161010742,4700,1,0.30000000000000004,211209284.94322205,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,4690,400,400,4690,400,0,0,0,0,100,4.761904716491699,0,0,0,0,0,0,0,52.6315803527832,0,0,0,0,0,0,0,0,33.333335876464844,4.761904716491699,66480525312,2147479552,40875925504,0
199,1721505276903,2773275.917907715,4700,1,0.30000000000000004,1427191.3041992188,4700,1,0.30000000000000004,1904461.6591186523,4700,1,0.30000000000000004,1550592.599533081,4700,1,0.30000000000000004,1563308.5659484863,4700,1,0.30000000000000004,1570520.7928619385,4700,1,0.30000000000000004,1593562.795639038,4700,1,0.30000000000000004,1671625.9115447998,4700,1,0.30000000000000004,1849317.0549926758,4700,1,0.30000000000000004,1344956.5525360107,4700,1,0.30000000000000004,1338950.8884887695,4700,1,0.30000000000000004,1410763.336593628,4700,1,0.30000000000000004,211209294.0760193,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,4690,400,400,4690,400,0,0,0,0,100,0,0,0,0,0,0,0,0,90.47618865966797,0,4.761904716491699,0,0,0,0,0,0,0,0,66480525312,2147479552,40881123328,0
199,1721505277103,2773276.908187866,4700,1,0.30000000000000004,1427191.3264465332,4700,1,0.30000000000000004,1904461.6817626953,4700,1,0.30000000000000004,1550592.6077423096,4700,1,0.30000000000000004,1563308.5725097656,4700,1,0.30000000000000004,1570520.7999572754,4700,1,0.30000000000000004,1593563.023300171,4700,1,0.30000000000000004,1671625.929031372,4700,1,0.30000000000000004,1849317.061782837,4700,1,0.30000000000000004,1344956.5655670166,4700,1,0.30000000000000004,1338952.5055236816,4700,1,0.30000000000000004,1410763.342803955,4700,1,0.30000000000000004,211209303.43423462,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,4690,400,400,4690,400,0,0,0,0,100,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,90,0,66480525312,2147479552,40883679232,0
199,1721505277303,2773277.8927001953,4700,1,0.30000000000000004,1427191.3502502441,4700,1,0.30000000000000004,1904461.688949585,4700,1,0.30000000000000004,1550592.6175842285,4700,1,0.30000000000000004,1563308.5803833008,4700,1,0.30000000000000004,1570520.8061523438,4700,1,0.30000000000000004,1593563.2480163574,4700,1,0.30000000000000004,1671625.935256958,4700,1,0.30000000000000004,1849317.0680236816,4700,1,0.30000000000000004,1344956.572128296,4700,1,0.30000000000000004,1338953.9809417725,4700,1,0.30000000000000004,1410763.349029541,4700,1,0.30000000000000004,211209312.62509155,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,4690,400,400,4690,400,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,66480525312,2147479552,40889491456,0
199,1721505277503,2773278.883605957,4700,1,0.3062499999999999,1427191.4494018555,4700,1,0.3062499999999999,1904461.7804870605,4700,1,0.3062499999999999,1550592.9231262207,4700,1,0.3062499999999999,1563308.7623291016,4700,1,0.3062499999999999,1570520.850265503,4700,1,0.3062499999999999,1593563.546218872,4700,1,0.3062499999999999,1671626.4515533447,4700,1,0.3062499999999999,1849317.2296142578,4700,1,0.3062499999999999,1344956.7021026611,4700,1,0.3062499999999999,1338954.5732269287,4700,1,0.3062499999999999,1410763.3904571533,4700,1,0.3062499999999999,211209322.45022583,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,4690,400,400,4690,400,0,0,0,0,100,20,4.761904716491699,0,0,0,0,0,0,38.095237731933594,0,13.636363983154297,0,0,14.285715103149414,30.434782028198242,13.636363983154297,9.523809432983398,19.047618865966797,0,66480525312,2147479552,40900427776,0
