Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721500347038,2766458.6697387695,4700,1,0.30000000000000004,1423682.7637329102,4700,1,0.30000000000000004,1900176.0612792969,4700,1,0.30000000000000004,1546844.8735198975,4700,1,0.30000000000000004,1559791.593887329,4700,1,0.30000000000000004,1566489.8497772217,4700,1,0.30000000000000004,1588781.5535736084,4700,1,0.30000000000000004,1667127.8064575195,4700,1,0.30000000000000004,1843412.7107543945,4700,1,0.30000000000000004,1341047.270187378,4700,1,0.30000000000000004,1335362.5657958984,4700,1,0.30000000000000004,1407258.0251312256,4700,1,0.30000000000000004,210996536.14782715,4690,4689,4690,4690,4689,4690,4688,4689,4692,4689,4692,400,4690,4690,400,4690,4688,4691,4690,4696,4690,4689,400,4690,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40740265984,0
199,1721500347038,2766458.679321289,4700,1,0.30000000000000004,1423682.765991211,4700,1,0.3062499999999999,1900176.0632324219,4700,1,0.3062499999999999,1546844.875793457,4700,1,0.30000000000000004,1559791.595779419,4700,1,0.30000000000000004,1566489.8522033691,4700,1,0.30000000000000004,1588781.5553588867,4700,1,0.30000000000000004,1667127.8217163086,4700,1,0.30000000000000004,1843412.7124938965,4700,1,0.30000000000000004,1341047.2726135254,4700,1,0.3062499999999999,1335362.5751190186,4700,1,0.3062499999999999,1407258.0274505615,4700,1,0.3062499999999999,210996536.2454834,4690,4689,4690,4690,4689,4690,4688,4689,4692,4689,4692,400,4690,4690,400,4690,4688,4691,4690,4696,4690,4689,400,4690,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40743849984,0
199,1721500347239,2766458.865585327,4700,1,0.30000000000000004,1423682.9956054688,4700,1,0.30000000000000004,1900176.282913208,4700,1,0.30000000000000004,1546845.0112304688,4700,1,0.30000000000000004,1559791.8526916504,4700,1,0.30000000000000004,1566489.9689331055,4700,1,0.30000000000000004,1588781.7713012695,4700,1,0.30000000000000004,1667127.9829559326,4700,1,0.30000000000000004,1843412.8721160889,4700,1,0.30000000000000004,1341047.5329284668,4700,1,0.30000000000000004,1335363.4784698486,4700,1,0.30000000000000004,1407258.185180664,4700,1,0.30000000000000004,210996545.53977966,4690,4689,4690,4690,4689,4690,4688,4689,4692,4689,4692,400,4690,4690,400,4690,4688,4691,4690,4696,4690,4689,400,4690,5.263157844543457,4.761904716491699,0,4.761904716491699,0,4.545454502105713,4.761904716491699,0,5,5,4.761904716491699,0,10,95.23809814453125,5,0,0,4.761904716491699,5,0,5,4.761904716491699,0,9.523809432983398,66480525312,2147479552,40749101056,0
199,1721500347439,2766459.166824341,4700,1,0.3125,1423683.2731781006,4700,1,0.3125,1900176.6248168945,4700,1,0.3125,1546845.4642486572,4700,1,0.3125,1559792.1503753662,4700,1,0.3125,1566490.3060302734,4700,1,0.3125,1588782.2594146729,4700,1,0.3125,1667128.3136444092,4700,1,0.3125,1843413.2667236328,4700,1,0.3125,1341047.845993042,4700,1,0.3125,1335364.4145355225,4700,1,0.3125,1407258.548965454,4700,1,0.3125,210996556.52648926,4690,4689,4690,4690,4689,4690,4688,4689,4692,4689,4692,400,4690,4690,400,4690,4688,4691,4690,4696,4690,4689,400,4690,9.523809432983398,5.263157844543457,5.263157844543457,10,5.263157844543457,25,9.523809432983398,5,25,5,0,10,10,95,5.263157844543457,10.526315689086914,9.523809432983398,5.263157844543457,19.047618865966797,15.000000953674316,15.000000953674316,10,5,15.789472579956055,66480525312,2147479552,40850526208,0
199,1721500347639,2766459.3236694336,4700,1,0.30000000000000004,1423683.373474121,4700,1,0.30000000000000004,1900176.799987793,4700,1,0.30000000000000004,1546845.6380767822,4700,1,0.30000000000000004,1559792.2667694092,4700,1,0.30000000000000004,1566490.5985870361,4700,1,0.30000000000000004,1588782.3640594482,4700,1,0.30000000000000004,1667128.4852752686,4700,1,0.30000000000000004,1843413.3391113281,4700,1,0.30000000000000004,1341047.8977355957,4700,1,0.30000000000000004,1335365.3607177734,4700,1,0.30000000000000004,1407258.7249450684,4700,1,0.30000000000000004,210996565.3161316,4690,4689,4690,4690,4689,4690,4688,4689,4692,4689,4692,400,4690,4690,400,4690,4688,4691,4690,4696,4690,4689,400,4690,0,0,0,0,4.761904716491699,9.523809432983398,5,5,0,5,0,0,5,100,5,4.761904716491699,0,14.285715103149414,4.761904716491699,0,9.090909004211426,5,0,5,66480525312,2147479552,40847683584,0
199,1721500347839,2766459.362838745,4700,1,0.30000000000000004,1423683.3835449219,4700,1,0.30000000000000004,1900176.9817504883,4700,1,0.30000000000000004,1546845.6849060059,4700,1,0.30000000000000004,1559792.3288879395,4700,1,0.30000000000000004,1566491.6774139404,4700,1,0.30000000000000004,1588782.3766784668,4700,1,0.30000000000000004,1667128.5970458984,4700,1,0.30000000000000004,1843413.351348877,4700,1,0.30000000000000004,1341047.9055633545,4700,1,0.30000000000000004,1335366.298538208,4700,1,0.30000000000000004,1407258.8193511963,4700,1,0.30000000000000004,210996574.24020386,4690,4689,4690,4690,4689,4690,4688,4689,4692,4689,4692,400,4690,4690,400,4690,4688,4691,4690,4696,4690,4689,400,4690,5,0,0,0,0,0,4.761904716491699,85,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40853004288,0
199,1721500348039,2766459.372528076,4700,1,0.30000000000000004,1423683.3990631104,4700,1,0.30000000000000004,1900177.1906433105,4700,1,0.30000000000000004,1546845.6925048828,4700,1,0.30000000000000004,1559792.3468017578,4700,1,0.30000000000000004,1566492.7954711914,4700,1,0.30000000000000004,1588782.3987579346,4700,1,0.30000000000000004,1667128.6726074219,4700,1,0.30000000000000004,1843413.360244751,4700,1,0.30000000000000004,1341047.912536621,4700,1,0.30000000000000004,1335367.229598999,4700,1,0.30000000000000004,1407258.8585357666,4700,1,0.30000000000000004,210996583.377594,4690,4689,4690,4690,4689,4690,4688,4689,4692,4689,4692,400,4690,4690,400,4690,4688,4691,4690,4696,4690,4689,400,4690,0,0,0,0,0,0,0,90,0,0,0,0,0,100,0,0,4.761904716491699,0,0,0,0,0,0,0,66480525312,2147479552,40859656192,0
199,1721500348239,2766459.380340576,4700,1,0.30000000000000004,1423683.4057769775,4700,1,0.30000000000000004,1900177.3847198486,4700,1,0.30000000000000004,1546845.7053222656,4700,1,0.30000000000000004,1559792.3550109863,4700,1,0.30000000000000004,1566494.4721679688,4700,1,0.30000000000000004,1588782.4112701416,4700,1,0.30000000000000004,1667128.7184295654,4700,1,0.30000000000000004,1843413.3665466309,4700,1,0.30000000000000004,1341047.91897583,4700,1,0.30000000000000004,1335368.1659545898,4700,1,0.30000000000000004,1407258.8728637695,4700,1,0.30000000000000004,210996592.81375122,4690,4689,4690,4690,4689,4690,4688,4689,4692,4689,4692,400,4690,4690,400,4690,4688,4691,4690,4696,4690,4689,400,4690,0,0,0,0,0,0,0,100,0,4.761904716491699,0,0,0,100,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40860971008,0
199,1721500348439,2766459.3874664307,4700,1,0.30000000000000004,1423683.4119873047,4700,1,0.30000000000000004,1900177.576828003,4700,1,0.30000000000000004,1546845.7115325928,4700,1,0.30000000000000004,1559792.3692321777,4700,1,0.30000000000000004,1566496.0946807861,4700,1,0.30000000000000004,1588782.4215240479,4700,1,0.30000000000000004,1667128.7337646484,4700,1,0.30000000000000004,1843413.3728485107,4700,1,0.30000000000000004,1341047.9252471924,4700,1,0.30000000000000004,1335369.10206604,4700,1,0.30000000000000004,1407258.8790740967,4700,1,0.30000000000000004,210996602.19995117,4690,4689,4690,4690,4689,4690,4688,4689,4692,4689,4692,400,4690,4690,400,4690,4688,4691,4690,4696,4690,4689,400,4690,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,4.761904716491699,0,0,0,0,0,0,0,66480525312,2147479552,40866201600,0
199,1721500348639,2766459.8865509033,4700,1,0.30000000000000004,1423683.6349945068,4700,1,0.30000000000000004,1900177.7933807373,4700,1,0.30000000000000004,1546845.743927002,4700,1,0.30000000000000004,1559792.4054870605,4700,1,0.30000000000000004,1566496.4003753662,4700,1,0.30000000000000004,1588783.02243042,4700,1,0.30000000000000004,1667128.7785949707,4700,1,0.30000000000000004,1843413.595855713,4700,1,0.30000000000000004,1341047.956665039,4700,1,0.30000000000000004,1335370.0308685303,4700,1,0.30000000000000004,1407258.9631500244,4700,1,0.30000000000000004,210996612.0027771,4690,4689,4690,4690,4689,4690,4688,4689,4692,4689,4692,400,4690,4690,400,4690,4688,4691,4690,4696,4690,4689,400,4690,0,0,0,0,42.105262756347656,4.761904716491699,0,26.3157901763916,0,5,0,0,0,100,0,15.000000953674316,0,0,40,4.761904716491699,10.526315689086914,0,0,0,66480525312,2147479552,40881954816,0
