Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721496695201,2761171.176147461,4700,1,0.30000000000000004,1421122.3703308105,4700,1,0.30000000000000004,1897078.0054168701,4700,1,0.30000000000000004,1543478.7467803955,4700,1,0.30000000000000004,1557024.1620483398,4700,1,0.30000000000000004,1563693.3471832275,4700,1,0.30000000000000004,1585145.3598937988,4700,1,0.30000000000000004,1664021.658050537,4700,1,0.30000000000000004,1839229.2904052734,4700,1,0.30000000000000004,1338392.8254699707,4700,1,0.30000000000000004,1332663.5801391602,4700,1,0.30000000000000004,1404678.675628662,4700,1,0.30000000000000004,210838933.04670715,400,400,400,4690,400,400,400,400,4686,4690,400,4690,400,4690,4690,4683,4685,400,400,400,400,400,400,400,8.333333969116211,4.1666669845581055,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40790093824,0
199,1721496695202,2761171.191040039,4700,1,0.30000000000000004,1421122.3715667725,4700,1,0.3062499999999999,1897078.014678955,4700,1,0.3062499999999999,1543478.7615356445,4700,1,0.30000000000000004,1557024.1659698486,4700,1,0.30000000000000004,1563693.3502807617,4700,1,0.30000000000000004,1585145.3616333008,4700,1,0.30000000000000004,1664021.6597595215,4700,1,0.30000000000000004,1839229.291809082,4700,1,0.3062499999999999,1338392.8272399902,4700,1,0.3062499999999999,1332663.5818328857,4700,1,0.3062499999999999,1404678.6768798828,4700,1,0.3062499999999999,210838933.14715576,400,400,400,4690,400,400,400,400,4686,4690,400,4690,400,4690,4690,4683,4685,400,400,400,400,400,400,400,8.333333969116211,4.1666669845581055,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40793190400,0
199,1721496695402,2761171.531600952,4700,1,0.30000000000000004,1421122.5219421387,4700,1,0.30000000000000004,1897078.9235076904,4700,1,0.30000000000000004,1543478.9368591309,4700,1,0.30000000000000004,1557024.4697875977,4700,1,0.30000000000000004,1563693.4728393555,4700,1,0.30000000000000004,1585145.6208496094,4700,1,0.30000000000000004,1664021.9138336182,4700,1,0.30000000000000004,1839229.5439605713,4700,1,0.30000000000000004,1338393.001876831,4700,1,0.30000000000000004,1332663.6915283203,4700,1,0.30000000000000004,1404678.80909729,4700,1,0.30000000000000004,210838942.6067047,400,400,400,4690,400,400,400,400,4686,4690,400,4690,400,4690,4690,4683,4685,400,400,400,400,400,400,400,4.761904716491699,0,0,94.73684692382813,10.526315689086914,0,0,0,0,0,13.636363983154297,0,9.523809432983398,4.545454502105713,4.761904716491699,0,0,9.090909004211426,9.523809432983398,5.263157844543457,9.523809432983398,4.761904716491699,4.545454502105713,4.761904716491699,66480525312,2147479552,40801738752,0
199,1721496695602,2761171.696762085,4700,1,0.30000000000000004,1421122.550857544,4700,1,0.30000000000000004,1897079.8488769531,4700,1,0.30000000000000004,1543478.9598693848,4700,1,0.30000000000000004,1557024.7130584717,4700,1,0.30000000000000004,1563693.494277954,4700,1,0.30000000000000004,1585145.755203247,4700,1,0.30000000000000004,1664021.9810333252,4700,1,0.30000000000000004,1839229.5746612549,4700,1,0.30000000000000004,1338393.044769287,4700,1,0.30000000000000004,1332663.7111053467,4700,1,0.30000000000000004,1404678.8386993408,4700,1,0.30000000000000004,210838950.73817444,400,400,400,4690,400,400,400,400,4686,4690,400,4690,400,4690,4690,4683,4685,400,400,400,400,400,400,400,0,0,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,66480525312,2147479552,40801996800,0
199,1721496695802,2761171.827774048,4700,1,0.30000000000000004,1421122.5791931152,4700,1,0.3062499999999999,1897080.7765197754,4700,1,0.3062499999999999,1543478.9749908447,4700,1,0.3062499999999999,1557024.9639129639,4700,1,0.3062499999999999,1563693.5066680908,4700,1,0.3062499999999999,1585145.912322998,4700,1,0.3062499999999999,1664022.1197357178,4700,1,0.3062499999999999,1839229.585647583,4700,1,0.3062499999999999,1338393.0572052002,4700,1,0.3062499999999999,1332663.720993042,4700,1,0.3062499999999999,1404678.8636779785,4700,1,0.3062499999999999,210838958.91551208,400,400,400,4690,400,400,400,400,4686,4690,400,4690,400,4690,4690,4683,4685,400,400,400,400,400,400,400,0,0,0,95.23809814453125,5,0,0,0,0,5,4.761904716491699,4.761904716491699,0,0,0,5,0,0,0,0,0,0,0,0,66480525312,2147479552,40805064704,0
199,1721496696002,2761172.120162964,4700,1,0.30000000000000004,1421122.775390625,4700,1,0.30000000000000004,1897081.7249145508,4700,1,0.30000000000000004,1543479.2351226807,4700,1,0.30000000000000004,1557025.4337158203,4700,1,0.30000000000000004,1563693.740386963,4700,1,0.30000000000000004,1585146.270690918,4700,1,0.30000000000000004,1664022.5520324707,4700,1,0.30000000000000004,1839229.9512634277,4700,1,0.30000000000000004,1338393.309753418,4700,1,0.30000000000000004,1332663.988204956,4700,1,0.30000000000000004,1404679.0980987549,4700,1,0.30000000000000004,210838969.55471802,400,400,400,4690,400,400,400,400,4686,4690,400,4690,400,4690,4690,4683,4685,400,400,400,400,400,400,400,15.000000953674316,5,0,100,0,10.526315689086914,10,14.285715103149414,13.636363983154297,19.047618865966797,0,0,15.000000953674316,5.263157844543457,5.263157844543457,10.526315689086914,0,5.263157844543457,15.789472579956055,19.047618865966797,15.000000953674316,5,5.263157844543457,0,66480525312,2147479552,40906084352,0
199,1721496696202,2761172.2190093994,4700,1,0.30000000000000004,1421122.819656372,4700,1,0.30000000000000004,1897082.67237854,4700,1,0.30000000000000004,1543479.3390655518,4700,1,0.30000000000000004,1557025.6672821045,4700,1,0.30000000000000004,1563693.9243621826,4700,1,0.30000000000000004,1585146.423171997,4700,1,0.30000000000000004,1664022.6911773682,4700,1,0.30000000000000004,1839230.1883392334,4700,1,0.30000000000000004,1338393.4228057861,4700,1,0.30000000000000004,1332664.0076293945,4700,1,0.30000000000000004,1404679.1752319336,4700,1,0.30000000000000004,210838978.0819397,400,400,400,4690,400,400,400,400,4686,4690,400,4690,400,4690,4690,4683,4685,400,400,400,400,400,400,400,4.761904716491699,0,0,100,5,0,15.000000953674316,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,66480525312,2147479552,40913379328,0
199,1721496696403,2761173.2325286865,4700,1,0.30000000000000004,1421122.826385498,4700,1,0.30000000000000004,1897083.0504302979,4700,1,0.30000000000000004,1543479.3925323486,4700,1,0.30000000000000004,1557025.709411621,4700,1,0.30000000000000004,1563694.0099945068,4700,1,0.30000000000000004,1585146.525527954,4700,1,0.30000000000000004,1664022.7363433838,4700,1,0.30000000000000004,1839230.3863983154,4700,1,0.30000000000000004,1338393.5423278809,4700,1,0.30000000000000004,1332664.5926361084,4700,1,0.30000000000000004,1404679.1857147217,4700,1,0.30000000000000004,210838986.90470886,400,400,400,4690,400,400,400,400,4686,4690,400,4690,400,4690,4690,4683,4685,400,400,400,400,400,400,400,80,0,0,40,0,4.761904716491699,0,4.761904716491699,0,0,5,0,0,0,0,0,0,0,0,4.761904716491699,0,0,61.904762268066406,0,66480525312,2147479552,40908800000,0
199,1721496696603,2761173.8129577637,4700,1,0.30000000000000004,1421122.8417053223,4700,1,0.30000000000000004,1897083.162612915,4700,1,0.30000000000000004,1543479.4009552002,4700,1,0.30000000000000004,1557025.7400054932,4700,1,0.30000000000000004,1563694.0168762207,4700,1,0.30000000000000004,1585146.5386199951,4700,1,0.30000000000000004,1664022.7440948486,4700,1,0.30000000000000004,1839230.519897461,4700,1,0.30000000000000004,1338393.5960083008,4700,1,0.30000000000000004,1332665.5267944336,4700,1,0.30000000000000004,1404679.7075958252,4700,1,0.30000000000000004,210838995.81726074,400,400,400,4690,400,400,400,400,4686,4690,400,4690,400,4690,4690,4683,4685,400,400,400,400,400,400,400,80,0,0,40,0,4.761904716491699,0,4.761904716491699,0,0,5,0,0,0,0,0,0,0,0,4.761904716491699,0,0,61.904762268066406,0,66480525312,2147479552,40914731008,0
199,1721496696803,2761174.2583618164,4700,1,0.30000000000000004,1421122.8488616943,4700,1,0.30000000000000004,1897083.3598632813,4700,1,0.30000000000000004,1543479.408859253,4700,1,0.30000000000000004,1557025.748840332,4700,1,0.30000000000000004,1563694.0242462158,4700,1,0.30000000000000004,1585146.5463104248,4700,1,0.30000000000000004,1664022.7510375977,4700,1,0.30000000000000004,1839230.5277557373,4700,1,0.30000000000000004,1338393.6313323975,4700,1,0.30000000000000004,1332666.0489196777,4700,1,0.30000000000000004,1404681.2296295166,4700,1,0.30000000000000004,210839005.06044006,400,400,400,4690,400,400,400,400,4686,4690,400,4690,400,4690,4690,4683,4685,400,400,400,400,400,400,400,24.390243530273438,0,2.5,2.4390242099761963,22.5,0,2.4390242099761963,0,0,0,0,0,0,0,70.73170471191406,0,2.4390242099761963,0,0,0,0,0,76.92308044433594,0,66480525312,2147479552,40917688320,0
