Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721502080546,2768768.1813049316,4700,1,0.30000000000000004,1425167.6262054443,4700,1,0.30000000000000004,1901681.2520599365,4700,1,0.30000000000000004,1547988.072402954,4700,1,0.30000000000000004,1560980.4205322266,4700,1,0.30000000000000004,1567870.6789550781,4700,1,0.30000000000000004,1590188.4468536377,4700,1,0.30000000000000004,1668518.7477111816,4700,1,0.30000000000000004,1845388.874206543,4700,1,0.30000000000000004,1342664.7845153809,4700,1,0.30000000000000004,1336907.8779296875,4700,1,0.30000000000000004,1408574.8405456543,4700,1,0.30000000000000004,211071437.73658752,400,400,400,4690,400,400,4689,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,3.846153974533081,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,66480525312,2147479552,40749363200,0
199,1721502080546,2768768.1955108643,4700,1,0.30000000000000004,1425167.627960205,4700,1,0.30000000000000004,1901681.261581421,4700,1,0.30000000000000004,1547988.074371338,4700,1,0.30000000000000004,1560980.4221801758,4700,1,0.30000000000000004,1567870.6806030273,4700,1,0.30000000000000004,1590188.45703125,4700,1,0.30000000000000004,1668518.7491607666,4700,1,0.30000000000000004,1845388.8764801025,4700,1,0.30000000000000004,1342664.785812378,4700,1,0.30000000000000004,1336907.879272461,4700,1,0.30000000000000004,1408574.841644287,4700,1,0.30000000000000004,211071437.8371582,400,400,400,4690,400,400,4689,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,3.846153974533081,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,66480525312,2147479552,40751398912,0
199,1721502080746,2768768.5157928467,4700,1,0.30000000000000004,1425167.8256988525,4700,1,0.3062499999999999,1901682.1726074219,4700,1,0.3062499999999999,1547988.307876587,4700,1,0.30000000000000004,1560980.588043213,4700,1,0.30000000000000004,1567870.9375915527,4700,1,0.30000000000000004,1590188.7126922607,4700,1,0.30000000000000004,1668519.075668335,4700,1,0.30000000000000004,1845389.1595458984,4700,1,0.30000000000000004,1342664.9912719727,4700,1,0.3062499999999999,1336908.075744629,4700,1,0.3062499999999999,1408574.9484710693,4700,1,0.3062499999999999,211071447.38682556,400,400,400,4690,400,400,4689,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,15.000000953674316,9.523809432983398,0,94.73684692382813,0,0,0,10.526315689086914,0,10,5,0,4.761904716491699,0,0,0,5,4.761904716491699,5,4.761904716491699,4.761904716491699,0,0,0,66480525312,2147479552,40765239296,0
199,1721502080946,2768768.9271850586,4700,1,0.30000000000000004,1425168.1259002686,4700,1,0.30000000000000004,1901683.1271362305,4700,1,0.30000000000000004,1547988.6227416992,4700,1,0.30000000000000004,1560980.8703918457,4700,1,0.30000000000000004,1567871.3724060059,4700,1,0.30000000000000004,1590189.1291351318,4700,1,0.30000000000000004,1668519.4771118164,4700,1,0.30000000000000004,1845389.4588775635,4700,1,0.30000000000000004,1342665.3265838623,4700,1,0.30000000000000004,1336908.3527526855,4700,1,0.30000000000000004,1408575.2180786133,4700,1,0.30000000000000004,211071458.31811523,400,400,400,4690,400,400,4689,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,20,10.526315689086914,5.263157844543457,100,10,0,5.263157844543457,20,15.000000953674316,15.000000953674316,5,5,9.523809432983398,5,10,5.263157844543457,10,5,15.789472579956055,14.285715103149414,5.263157844543457,5.263157844543457,5,0,66480525312,2147479552,40865284096,0
199,1721502081146,2768769.152618408,4700,1,0.3062499999999999,1425168.3121948242,4700,1,0.3062499999999999,1901684.065612793,4700,1,0.3062499999999999,1547988.877746582,4700,1,0.3062499999999999,1560980.9973602295,4700,1,0.3062499999999999,1567871.544052124,4700,1,0.3062499999999999,1590189.2607574463,4700,1,0.3062499999999999,1668519.7206726074,4700,1,0.3062499999999999,1845389.5473327637,4700,1,0.3062499999999999,1342665.5199432373,4700,1,0.3062499999999999,1336908.4239196777,4700,1,0.3062499999999999,1408575.3156280518,4700,1,0.3062499999999999,211071467.04257202,400,400,400,4690,400,400,4689,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,5,15.000000953674316,5,100,10,0,0,4.761904716491699,0,0,0,0,0,5,0,4.761904716491699,0,9.523809432983398,9.090909004211426,5.555555820465088,0,5,0,0,66480525312,2147479552,40874926080,0
199,1721502081346,2768769.175918579,4700,1,0.30000000000000004,1425168.5105438232,4700,1,0.30000000000000004,1901685.0079956055,4700,1,0.30000000000000004,1547988.8965911865,4700,1,0.30000000000000004,1560981.0735168457,4700,1,0.30000000000000004,1567872.7152404785,4700,1,0.30000000000000004,1590189.2739715576,4700,1,0.30000000000000004,1668519.7550201416,4700,1,0.30000000000000004,1845389.5703430176,4700,1,0.30000000000000004,1342665.5270690918,4700,1,0.30000000000000004,1336908.4308624268,4700,1,0.30000000000000004,1408575.3786315918,4700,1,0.30000000000000004,211071476.14224243,400,400,400,4690,400,400,4689,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,94.73684692382813,0,0,0,0,0,0,66480525312,2147479552,40882782208,0
199,1721502081547,2768769.1880493164,4700,1,0.30000000000000004,1425168.6097869873,4700,1,0.30000000000000004,1901685.9440917969,4700,1,0.30000000000000004,1547988.9198760986,4700,1,0.30000000000000004,1560981.8712158203,4700,1,0.30000000000000004,1567873.0394744873,4700,1,0.30000000000000004,1590189.295791626,4700,1,0.30000000000000004,1668519.7635040283,4700,1,0.30000000000000004,1845389.5870361328,4700,1,0.30000000000000004,1342665.5523529053,4700,1,0.30000000000000004,1336908.4382324219,4700,1,0.30000000000000004,1408575.3892059326,4700,1,0.30000000000000004,211071485.0867157,400,400,400,4690,400,400,4689,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,0,0,0,100,0,0,61.904762268066406,0,0,0,0,0,0,0,0,0,0,30.000001907348633,0,0,4.761904716491699,0,0,0,66480525312,2147479552,40887681024,0
199,1721502081747,2768769.201675415,4700,1,0.30000000000000004,1425168.6164550781,4700,1,0.30000000000000004,1901686.8876037598,4700,1,0.30000000000000004,1547988.9261932373,4700,1,0.30000000000000004,1560983.5880126953,4700,1,0.30000000000000004,1567873.0456848145,4700,1,0.30000000000000004,1590189.3086242676,4700,1,0.30000000000000004,1668519.7697601318,4700,1,0.30000000000000004,1845389.6116027832,4700,1,0.30000000000000004,1342665.6823425293,4700,1,0.30000000000000004,1336908.4446868896,4700,1,0.30000000000000004,1408575.396911621,4700,1,0.30000000000000004,211071494.6482849,400,400,400,4690,400,400,4689,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,66480525312,2147479552,40889167872,0
199,1721502081947,2768769.2080688477,4700,1,0.30000000000000004,1425168.6226348877,4700,1,0.30000000000000004,1901687.8305206299,4700,1,0.30000000000000004,1547988.9333953857,4700,1,0.30000000000000004,1560985.1530151367,4700,1,0.30000000000000004,1567873.0523529053,4700,1,0.30000000000000004,1590189.3149108887,4700,1,0.30000000000000004,1668519.7759857178,4700,1,0.30000000000000004,1845389.6337280273,4700,1,0.30000000000000004,1342665.8729858398,4700,1,0.30000000000000004,1336908.4509124756,4700,1,0.30000000000000004,1408575.4038391113,4700,1,0.30000000000000004,211071504.09094238,400,400,400,4690,400,400,4689,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40894296064,0
199,1721502082147,2768769.266937256,4700,1,0.30000000000000004,1425168.9216918945,4700,1,0.30000000000000004,1901688.76663208,4700,1,0.30000000000000004,1547988.9707489014,4700,1,0.30000000000000004,1560985.5457000732,4700,1,0.30000000000000004,1567873.5003814697,4700,1,0.30000000000000004,1590190.0035552979,4700,1,0.30000000000000004,1668519.8658294678,4700,1,0.30000000000000004,1845389.6667175293,4700,1,0.30000000000000004,1342666.0238189697,4700,1,0.30000000000000004,1336908.4803771973,4700,1,0.30000000000000004,1408575.4382629395,4700,1,0.30000000000000004,211071513.8317566,400,400,400,4690,400,400,4689,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,0,0,0,100,0,0,26.3157901763916,27.77777862548828,42.85714340209961,5.263157844543457,0,0,0,0,0,15.000000953674316,0,0,20,0,4.761904716491699,0,0,0,66480525312,2147479552,40902381568,0
