Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721498445230,2763437.879837036,4700,1,0.30000000000000004,1422250.114654541,4700,1,0.30000000000000004,1898548.8164520264,4700,1,0.30000000000000004,1545053.6158599854,4700,1,0.30000000000000004,1558589.1102752686,4700,1,0.30000000000000004,1564978.0046081543,4700,1,0.30000000000000004,1586970.3116912842,4700,1,0.30000000000000004,1665506.661819458,4700,1,0.30000000000000004,1841221.0252075195,4700,1,0.30000000000000004,1339777.8363494873,4700,1,0.30000000000000004,1333986.4687652588,4700,1,0.30000000000000004,1405801.9011535645,4700,1,0.30000000000000004,210914334.9207611,4690,400,400,4690,400,400,400,400,400,4685,400,400,400,400,400,4690,400,400,400,4690,400,400,400,4690,0,3.7037036418914795,0,0,0,0,0,0,0,4,0,0,0,0,0,100,0,0,3.846153974533081,0,0,0,0,0,66480525312,2147479552,40778715136,0
199,1721498445231,2763437.8822021484,4700,1,0.30000000000000004,1422250.1238250732,4700,1,0.3062499999999999,1898548.819229126,4700,1,0.3062499999999999,1545053.6180267334,4700,1,0.30000000000000004,1558589.1220855713,4700,1,0.3062499999999999,1564978.0064239502,4700,1,0.3062499999999999,1586970.3133850098,4700,1,0.3062499999999999,1665506.6722259521,4700,1,0.3062499999999999,1841221.0270385742,4700,1,0.3062499999999999,1339777.8379211426,4700,1,0.3062499999999999,1333986.470336914,4700,1,0.3062499999999999,1405801.9026641846,4700,1,0.3062499999999999,210914335.0258789,4690,400,400,4690,400,400,400,400,400,4685,400,400,400,400,400,4690,400,400,400,4690,400,400,400,4690,0,3.7037036418914795,0,0,0,0,0,0,0,4,0,0,0,0,0,100,0,0,3.846153974533081,0,0,0,0,0,66480525312,2147479552,40779747328,0
199,1721498445431,2763437.9865264893,4700,1,0.30000000000000004,1422251.0372314453,4700,1,0.30000000000000004,1898549.0937194824,4700,1,0.30000000000000004,1545053.745300293,4700,1,0.30000000000000004,1558589.3689422607,4700,1,0.30000000000000004,1564978.06149292,4700,1,0.30000000000000004,1586970.3795166016,4700,1,0.30000000000000004,1665506.7869262695,4700,1,0.30000000000000004,1841221.2150726318,4700,1,0.30000000000000004,1339777.9259490967,4700,1,0.30000000000000004,1333986.622390747,4700,1,0.30000000000000004,1405802.0319976807,4700,1,0.30000000000000004,210914343.80877686,4690,400,400,4690,400,400,400,400,400,4685,400,400,400,400,400,4690,400,400,400,4690,400,400,400,4690,4.761904716491699,9.523809432983398,0,4.761904716491699,0,0,18.18181800842285,0,0,4.761904716491699,0,0,5,0,0,100,0,0,0,4.761904716491699,4.761904716491699,4.761904716491699,10,0,66480525312,2147479552,40787791872,0
199,1721498445631,2763438.2962493896,4700,1,0.3125,1422251.928100586,4700,1,0.3125,1898549.4500427246,4700,1,0.3125,1545053.999420166,4700,1,0.3125,1558589.7751159668,4700,1,0.3125,1564978.3238983154,4700,1,0.3125,1586970.6033172607,4700,1,0.3125,1665507.1204681396,4700,1,0.3125,1841221.5203399658,4700,1,0.3125,1339778.2034606934,4700,1,0.3125,1333986.9277801514,4700,1,0.3125,1405802.390197754,4700,1,0.3125,210914354.6335907,4690,400,400,4690,400,400,400,400,400,4685,400,400,400,400,400,4690,400,400,400,4690,400,400,400,4690,10.526315689086914,10.526315689086914,5,5.263157844543457,5.555555820465088,4.761904716491699,21.052631378173828,10.526315689086914,5.263157844543457,5,0,0,0,5.555555820465088,14.285715103149414,95.23809814453125,5.263157844543457,0,0,10,10,10,9.523809432983398,5.263157844543457,66480525312,2147479552,40875130880,0
199,1721498445831,2763438.5720062256,4700,1,0.3062499999999999,1422252.8464050293,4700,1,0.3062499999999999,1898549.5596466064,4700,1,0.3062499999999999,1545054.1361236572,4700,1,0.3062499999999999,1558589.9753112793,4700,1,0.3062499999999999,1564978.433959961,4700,1,0.3062499999999999,1586970.7785644531,4700,1,0.3062499999999999,1665507.352722168,4700,1,0.3062499999999999,1841221.7644348145,4700,1,0.3062499999999999,1339778.3919830322,4700,1,0.3062499999999999,1333987.0379333496,4700,1,0.3062499999999999,1405802.5030975342,4700,1,0.3062499999999999,210914363.8072052,4690,400,400,4690,400,400,400,400,400,4685,400,400,400,400,400,4690,400,400,400,4690,400,400,400,4690,5,0,0,0,15.000000953674316,0,10,5,0,0,5,5,13.636363983154297,4.761904716491699,0,100,4.761904716491699,0,10,10,4.761904716491699,0,0,0,66480525312,2147479552,40894459904,0
199,1721498446031,2763438.6910858154,4700,1,0.30000000000000004,1422253.7476501465,4700,1,0.30000000000000004,1898549.7994537354,4700,1,0.30000000000000004,1545054.2187652588,4700,1,0.30000000000000004,1558590.0622711182,4700,1,0.30000000000000004,1564979.2323760986,4700,1,0.30000000000000004,1586970.8826293945,4700,1,0.30000000000000004,1665507.500137329,4700,1,0.30000000000000004,1841221.788482666,4700,1,0.30000000000000004,1339778.4360656738,4700,1,0.30000000000000004,1333987.182647705,4700,1,0.30000000000000004,1405802.6388549805,4700,1,0.30000000000000004,210914373.11061096,4690,400,400,4690,400,400,400,400,400,4685,400,400,400,400,400,4690,400,400,400,4690,400,400,400,4690,5,0,0,0,15.000000953674316,0,10,5,0,0,5,5,13.636363983154297,4.761904716491699,0,100,4.761904716491699,0,10,10,4.761904716491699,0,0,0,66480525312,2147479552,40900698112,0
199,1721498446231,2763438.71244812,4700,1,0.30000000000000004,1422254.642288208,4700,1,0.30000000000000004,1898550.0072174072,4700,1,0.30000000000000004,1545054.2257080078,4700,1,0.30000000000000004,1558590.0686645508,4700,1,0.30000000000000004,1564980.4478759766,4700,1,0.30000000000000004,1586970.9033355713,4700,1,0.30000000000000004,1665507.5178222656,4700,1,0.30000000000000004,1841221.8024749756,4700,1,0.30000000000000004,1339778.442489624,4700,1,0.30000000000000004,1333987.1945343018,4700,1,0.30000000000000004,1405802.6518859863,4700,1,0.30000000000000004,210914382.33996582,4690,400,400,4690,400,400,400,400,400,4685,400,400,400,400,400,4690,400,400,400,4690,400,400,400,4690,2.4390242099761963,0,0,2.5641026496887207,2.4390242099761963,2.5,0,78.57142639160156,0,0,0,0,0,0,0,100,0,4.878048419952393,0,0,0,0,0,0,66480525312,2147479552,40907575296,0
199,1721498446431,2763438.73727417,4700,1,0.30000000000000004,1422255.5426177979,4700,1,0.30000000000000004,1898550.0701293945,4700,1,0.30000000000000004,1545054.2442016602,4700,1,0.30000000000000004,1558590.0859222412,4700,1,0.30000000000000004,1564981.9049682617,4700,1,0.30000000000000004,1586970.9099578857,4700,1,0.30000000000000004,1665507.580657959,4700,1,0.30000000000000004,1841221.8097381592,4700,1,0.30000000000000004,1339778.4492034912,4700,1,0.30000000000000004,1333987.3681488037,4700,1,0.30000000000000004,1405802.6775512695,4700,1,0.30000000000000004,210914391.8486328,4690,400,400,4690,400,400,400,400,400,4685,400,400,400,400,400,4690,400,400,400,4690,400,400,400,4690,4.761904716491699,0,5,4.761904716491699,0,0,4.761904716491699,95,0,0,0,0,0,0,0,95.23809814453125,0,0,0,0,0,0,0,0,66480525312,2147479552,40910450688,0
199,1721498446631,2763438.7560272217,4700,1,0.30000000000000004,1422256.442779541,4700,1,0.30000000000000004,1898550.0768737793,4700,1,0.30000000000000004,1545054.2507019043,4700,1,0.30000000000000004,1558590.0955810547,4700,1,0.30000000000000004,1564983.5927734375,4700,1,0.30000000000000004,1586970.9161834717,4700,1,0.30000000000000004,1665507.5902404785,4700,1,0.30000000000000004,1841221.8158721924,4700,1,0.30000000000000004,1339778.4562530518,4700,1,0.30000000000000004,1333987.5558776855,4700,1,0.30000000000000004,1405802.6837615967,4700,1,0.30000000000000004,210914401.3469391,4690,400,400,4690,400,400,400,400,400,4685,400,400,400,400,400,4690,400,400,400,4690,400,400,400,4690,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40913874944,0
199,1721498446831,2763438.812652588,4700,1,0.3062499999999999,1422257.3392791748,4700,1,0.3062499999999999,1898550.1414642334,4700,1,0.3062499999999999,1545054.7169036865,4700,1,0.3062499999999999,1558590.2307281494,4700,1,0.3062499999999999,1564984.307723999,4700,1,0.3062499999999999,1586970.952255249,4700,1,0.3062499999999999,1665507.6146697998,4700,1,0.3062499999999999,1841221.8493041992,4700,1,0.3062499999999999,1339778.4898529053,4700,1,0.3062499999999999,1333987.7578430176,4700,1,0.3062499999999999,1405802.7162017822,4700,1,0.3062499999999999,210914410.73591614,4690,400,400,4690,400,400,400,400,400,4685,400,400,400,400,400,4690,400,400,400,4690,400,400,400,4690,0,36.3636360168457,100,0,0,0,10,55,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,66480525312,2147479552,40924749824,0
