Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721498294311,2763246.881286621,4700,1,0.30000000000000004,1422100.5422668457,4700,1,0.30000000000000004,1898470.8873901367,4700,1,0.30000000000000004,1544942.922958374,4700,1,0.30000000000000004,1558437.4427185059,4700,1,0.30000000000000004,1564836.7575073242,4700,1,0.30000000000000004,1586836.9381713867,4700,1,0.30000000000000004,1665381.127960205,4700,1,0.30000000000000004,1841121.0367736816,4700,1,0.30000000000000004,1339682.4075775146,4700,1,0.30000000000000004,1333806.5386199951,4700,1,0.30000000000000004,1405698.4028320313,4700,1,0.30000000000000004,210907806.0013275,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,400,400,400,400,400,4686,400,400,400,3.3333334922790527,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,6.896551609039307,0,0,0,0,0,0,0,66480525312,2147479552,40777986048,0
199,1721498294311,2763246.8833007813,4700,1,0.30000000000000004,1422100.5435638428,4700,1,0.30000000000000004,1898470.9020385742,4700,1,0.30000000000000004,1544942.925064087,4700,1,0.30000000000000004,1558437.4528961182,4700,1,0.30000000000000004,1564836.75881958,4700,1,0.30000000000000004,1586836.940536499,4700,1,0.30000000000000004,1665381.1291046143,4700,1,0.30000000000000004,1841121.037902832,4700,1,0.30000000000000004,1339682.4185791016,4700,1,0.30000000000000004,1333806.5406341553,4700,1,0.30000000000000004,1405698.4048309326,4700,1,0.30000000000000004,210907806.1552887,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,400,400,400,400,400,4686,400,400,400,3.3333334922790527,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,6.896551609039307,0,0,0,0,0,0,0,66480525312,2147479552,40781082624,0
199,1721498294511,2763247.073272705,4700,1,0.30000000000000004,1422100.6125030518,4700,1,0.30000000000000004,1898470.986190796,4700,1,0.30000000000000004,1544943.0615997314,4700,1,0.30000000000000004,1558438.4420318604,4700,1,0.30000000000000004,1564836.8673095703,4700,1,0.30000000000000004,1586837.1368408203,4700,1,0.30000000000000004,1665381.316833496,4700,1,0.30000000000000004,1841121.1041564941,4700,1,0.30000000000000004,1339682.7265014648,4700,1,0.30000000000000004,1333806.629852295,4700,1,0.30000000000000004,1405698.46043396,4700,1,0.30000000000000004,210907815.22195435,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,400,400,400,400,400,4686,400,400,400,4.761904716491699,0,0,4.761904716491699,0,0,95.23809814453125,0,5,0,0,19.047618865966797,4.761904716491699,0,0,0,0,0,4.761904716491699,4.761904716491699,0,5,0,0,66480525312,2147479552,40790749184,0
199,1721498294711,2763247.276489258,4700,1,0.30000000000000004,1422100.81149292,4700,1,0.30000000000000004,1898471.1212158203,4700,1,0.30000000000000004,1544943.1942138672,4700,1,0.30000000000000004,1558439.413269043,4700,1,0.30000000000000004,1564837.0795288086,4700,1,0.30000000000000004,1586837.3308258057,4700,1,0.30000000000000004,1665381.4755859375,4700,1,0.30000000000000004,1841121.1961517334,4700,1,0.30000000000000004,1339682.820449829,4700,1,0.30000000000000004,1333806.7414550781,4700,1,0.30000000000000004,1405698.537536621,4700,1,0.30000000000000004,210907824.32159424,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,400,400,400,400,400,4686,400,400,400,0,0,0,0,5.263157844543457,0,100,0,0,0,0,0,0,0,0,10.526315689086914,0,0,5,0,0,0,0,0,66480525312,2147479552,40789499904,0
199,1721498294911,2763247.2878570557,4700,1,0.30000000000000004,1422100.8834228516,4700,1,0.30000000000000004,1898471.1454162598,4700,1,0.30000000000000004,1544943.2094573975,4700,1,0.30000000000000004,1558440.2325134277,4700,1,0.30000000000000004,1564837.294631958,4700,1,0.30000000000000004,1586837.3415679932,4700,1,0.30000000000000004,1665381.4933166504,4700,1,0.30000000000000004,1841121.3832550049,4700,1,0.30000000000000004,1339682.8274841309,4700,1,0.30000000000000004,1333806.749572754,4700,1,0.30000000000000004,1405698.5449829102,4700,1,0.30000000000000004,210907832.48020935,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,400,400,400,400,400,4686,400,400,400,0,0,0,0,0,0,80,4.761904716491699,0,4.761904716491699,0,0,0,0,0,9.523809432983398,0,0,0,5,15.789472579956055,0,0,0,66480525312,2147479552,40790274048,0
199,1721498295112,2763247.2995758057,4700,1,0.30000000000000004,1422100.8900604248,4700,1,0.30000000000000004,1898471.1609039307,4700,1,0.30000000000000004,1544943.2175598145,4700,1,0.30000000000000004,1558440.4777832031,4700,1,0.30000000000000004,1564837.313873291,4700,1,0.30000000000000004,1586837.3509674072,4700,1,0.30000000000000004,1665381.5022125244,4700,1,0.30000000000000004,1841122.316543579,4700,1,0.30000000000000004,1339682.8343353271,4700,1,0.30000000000000004,1333806.7566986084,4700,1,0.30000000000000004,1405698.551437378,4700,1,0.30000000000000004,210907840.51864624,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,400,400,400,400,400,4686,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,66480525312,2147479552,40790274048,0
199,1721498295312,2763247.525817871,4700,1,0.3125,1422101.0000915527,4700,1,0.3125,1898471.3252868652,4700,1,0.3125,1544943.3602905273,4700,1,0.3125,1558440.7756347656,4700,1,0.3125,1564837.5097961426,4700,1,0.3125,1586837.5486602783,4700,1,0.3125,1665381.6954345703,4700,1,0.3125,1841123.2640686035,4700,1,0.3125,1339682.984741211,4700,1,0.3125,1333806.8420410156,4700,1,0.3125,1405698.6570739746,4700,1,0.3125,210907849.96020508,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,400,400,400,400,400,4686,400,400,400,10.526315689086914,13.636363983154297,0,10,14.285715103149414,13.636363983154297,5,0,9.523809432983398,10,4.761904716491699,10,5,5,4.761904716491699,9.090909004211426,0,0,10,14.285715103149414,100,5,9.523809432983398,5,66480525312,2147479552,40836206592,0
199,1721498295512,2763247.595352173,4700,1,0.30000000000000004,1422101.0701141357,4700,1,0.30000000000000004,1898471.3927001953,4700,1,0.30000000000000004,1544943.4299621582,4700,1,0.30000000000000004,1558440.8635101318,4700,1,0.30000000000000004,1564837.585647583,4700,1,0.30000000000000004,1586837.6225280762,4700,1,0.30000000000000004,1665382.0106964111,4700,1,0.30000000000000004,1841124.2117156982,4700,1,0.30000000000000004,1339683.0546722412,4700,1,0.30000000000000004,1333806.9070892334,4700,1,0.30000000000000004,1405698.758026123,4700,1,0.30000000000000004,210907858.71972656,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,400,400,400,400,400,4686,400,400,400,0,0,5,5,9.090909004211426,5,9.523809432983398,5,0,0,5,4.761904716491699,4.761904716491699,0,0,5,5,4.761904716491699,4.761904716491699,5,100,0,4.761904716491699,0,66480525312,2147479552,40882122752,0
199,1721498295712,2763247.8091278076,4700,1,0.30000000000000004,1422101.2214813232,4700,1,0.30000000000000004,1898471.5500335693,4700,1,0.30000000000000004,1544943.5140533447,4700,1,0.30000000000000004,1558440.979522705,4700,1,0.30000000000000004,1564837.6985778809,4700,1,0.30000000000000004,1586837.8998565674,4700,1,0.30000000000000004,1665382.2127838135,4700,1,0.30000000000000004,1841125.1472625732,4700,1,0.30000000000000004,1339683.170425415,4700,1,0.30000000000000004,1333806.9782867432,4700,1,0.30000000000000004,1405698.8254241943,4700,1,0.30000000000000004,210907867.77537537,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,400,400,400,400,400,4686,400,400,400,5.263157844543457,4.761904716491699,0,0,5.555555820465088,0,0,9.523809432983398,10,0,0,10,0,0,0,0,0,0,5.263157844543457,0,100,5,0,0,66480525312,2147479552,40915406848,0
199,1721498295912,2763247.8538970947,4700,1,0.30000000000000004,1422101.3275146484,4700,1,0.30000000000000004,1898471.7700653076,4700,1,0.30000000000000004,1544943.5668792725,4700,1,0.30000000000000004,1558441.0646820068,4700,1,0.30000000000000004,1564837.7837371826,4700,1,0.30000000000000004,1586837.972869873,4700,1,0.30000000000000004,1665382.297241211,4700,1,0.30000000000000004,1841126.0924835205,4700,1,0.30000000000000004,1339683.2064208984,4700,1,0.30000000000000004,1333807.0287628174,4700,1,0.30000000000000004,1405698.8557891846,4700,1,0.30000000000000004,210907876.23349,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,400,400,400,400,400,4686,400,400,400,0,5,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,10,5,9.523809432983398,0,0,100,0,0,0,66480525312,2147479552,40894263296,0
