Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721499790542,2765492.727661133,4700,1,0.30000000000000004,1423294.369796753,4700,1,0.30000000000000004,1899687.705444336,4700,1,0.30000000000000004,1546168.8261108398,4700,1,0.30000000000000004,1559460.8433380127,4700,1,0.30000000000000004,1566052.8292999268,4700,1,0.30000000000000004,1588240.407333374,4700,1,0.30000000000000004,1666740.8696746826,4700,1,0.30000000000000004,1842861.8638305664,4700,1,0.30000000000000004,1340611.5776672363,4700,1,0.30000000000000004,1334997.7963256836,4700,1,0.30000000000000004,1406848.1336364746,4700,1,0.30000000000000004,210972469.4040985,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,4690,400,400,400,4685,400,400,400,400,4,0,0,8,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40750112768,0
199,1721499790543,2765492.728820801,4700,1,0.30000000000000004,1423294.3717651367,4700,1,0.30000000000000004,1899687.7198791504,4700,1,0.30000000000000004,1546168.8272399902,4700,1,0.30000000000000004,1559460.8532562256,4700,1,0.30000000000000004,1566052.830368042,4700,1,0.30000000000000004,1588240.408493042,4700,1,0.30000000000000004,1666740.8718566895,4700,1,0.30000000000000004,1842861.8702697754,4700,1,0.30000000000000004,1340611.5800628662,4700,1,0.30000000000000004,1334997.797454834,4700,1,0.30000000000000004,1406848.1354522705,4700,1,0.30000000000000004,210972469.55197144,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,4690,400,400,400,4685,400,400,400,400,4,0,0,8,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40751144960,0
199,1721499790743,2765492.8034820557,4700,1,0.3062499999999999,1423294.4264526367,4700,1,0.3062499999999999,1899687.7852478027,4700,1,0.3062499999999999,1546168.931503296,4700,1,0.3062499999999999,1559461.8229064941,4700,1,0.3062499999999999,1566052.8925170898,4700,1,0.3062499999999999,1588240.4530181885,4700,1,0.3062499999999999,1666741.0798492432,4700,1,0.3062499999999999,1842861.9360961914,4700,1,0.3062499999999999,1340611.7961425781,4700,1,0.3062499999999999,1334997.869720459,4700,1,0.3062499999999999,1406848.2853851318,4700,1,0.3062499999999999,210972478.0509491,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,4690,400,400,400,4685,400,400,400,400,4.761904716491699,0,0,4.761904716491699,0,0,9.523809432983398,0,0,0,5,0,95.23809814453125,0,0,0,0,0,0,0,0,0,5,10,66480525312,2147479552,40759545856,0
199,1721499790943,2765492.8296203613,4700,1,0.30000000000000004,1423294.529953003,4700,1,0.30000000000000004,1899687.8675994873,4700,1,0.30000000000000004,1546169.0512390137,4700,1,0.30000000000000004,1559462.8086090088,4700,1,0.30000000000000004,1566052.9414978027,4700,1,0.30000000000000004,1588240.4717559814,4700,1,0.30000000000000004,1666741.2844238281,4700,1,0.30000000000000004,1842862.0225524902,4700,1,0.30000000000000004,1340611.9723358154,4700,1,0.30000000000000004,1334997.92628479,4700,1,0.30000000000000004,1406848.4138946533,4700,1,0.30000000000000004,210972486.58999634,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,4690,400,400,400,4685,400,400,400,400,0,0,9.523809432983398,9.523809432983398,0,0,0,0,0,0,9.523809432983398,5,100,5,0,5,0,0,4.761904716491699,5,0,4.761904716491699,0,0,66480525312,2147479552,40766509056,0
199,1721499791143,2765493.131210327,4700,1,0.3125,1423294.7598724365,4700,1,0.31874999999999987,1899688.2165679932,4700,1,0.31874999999999987,1546169.2757720947,4700,1,0.3125,1559463.8135223389,4700,1,0.3125,1566053.1549987793,4700,1,0.3125,1588240.6877593994,4700,1,0.3125,1666741.5690460205,4700,1,0.3125,1842862.22756958,4700,1,0.31874999999999987,1340612.1608276367,4700,1,0.31874999999999987,1334998.114807129,4700,1,0.31874999999999987,1406848.6445617676,4700,1,0.31874999999999987,210972496.2288971,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,4690,400,400,400,4685,400,400,400,400,4.761904716491699,0,0,0,5,5,10,5,0,0,5.263157844543457,0,94.73684692382813,10,0,0,15.000000953674316,0,0,0,5,0,0,9.523809432983398,66480525312,2147479552,40772349952,0
199,1721499791343,2765493.3623657227,4700,1,0.3062499999999999,1423294.9775238037,4700,1,0.3062499999999999,1899688.382598877,4700,1,0.3062499999999999,1546169.4241027832,4700,1,0.3062499999999999,1559464.8042907715,4700,1,0.3062499999999999,1566053.4452209473,4700,1,0.3062499999999999,1588241.0124969482,4700,1,0.3062499999999999,1666741.742263794,4700,1,0.3062499999999999,1842862.442199707,4700,1,0.3062499999999999,1340612.3605651855,4700,1,0.3062499999999999,1334998.4511260986,4700,1,0.3062499999999999,1406848.883758545,4700,1,0.3062499999999999,210972506.09718323,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,4690,400,400,400,4685,400,400,400,400,5,0,10,14.285715103149414,15.000000953674316,10,0,5,5,10,10,10,100,5.263157844543457,0,10,0,5.263157844543457,9.090909004211426,5,0,5,5.555555820465088,5.555555820465088,66480525312,2147479552,40894668800,0
199,1721499791543,2765493.409210205,4700,1,0.30000000000000004,1423295.2051086426,4700,1,0.30000000000000004,1899689.0280761719,4700,1,0.30000000000000004,1546169.4541931152,4700,1,0.30000000000000004,1559465.8050842285,4700,1,0.30000000000000004,1566053.504196167,4700,1,0.30000000000000004,1588241.2030639648,4700,1,0.30000000000000004,1666741.8046264648,4700,1,0.30000000000000004,1842862.63961792,4700,1,0.30000000000000004,1340612.499633789,4700,1,0.30000000000000004,1334998.5456542969,4700,1,0.30000000000000004,1406848.9321746826,4700,1,0.30000000000000004,210972515.01574707,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,4690,400,400,400,4685,400,400,400,400,4.761904716491699,0,9.523809432983398,26.3157901763916,0,0,4.761904716491699,0,0,0,10.526315689086914,0,100,5,4.761904716491699,0,20,0,0,0,0,5.263157844543457,0,0,66480525312,2147479552,40874319872,0
199,1721499791743,2765493.41696167,4700,1,0.30000000000000004,1423295.2115783691,4700,1,0.30000000000000004,1899690.2103424072,4700,1,0.30000000000000004,1546169.463180542,4700,1,0.30000000000000004,1559466.8009490967,4700,1,0.30000000000000004,1566053.5318450928,4700,1,0.30000000000000004,1588241.2180633545,4700,1,0.30000000000000004,1666741.8238677979,4700,1,0.30000000000000004,1842862.6605529785,4700,1,0.30000000000000004,1340612.5226135254,4700,1,0.30000000000000004,1334998.5539398193,4700,1,0.30000000000000004,1406848.9409332275,4700,1,0.30000000000000004,210972523.95968628,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,4690,400,400,400,4685,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,5,100,0,0,0,95,0,0,0,0,0,0,0,66480525312,2147479552,40879370240,0
199,1721499791943,2765493.4247436523,4700,1,0.30000000000000004,1423295.2249908447,4700,1,0.30000000000000004,1899691.5971221924,4700,1,0.30000000000000004,1546169.4724121094,4700,1,0.30000000000000004,1559467.7880401611,4700,1,0.30000000000000004,1566053.541809082,4700,1,0.30000000000000004,1588241.2274475098,4700,1,0.30000000000000004,1666741.8862609863,4700,1,0.30000000000000004,1842862.6725006104,4700,1,0.30000000000000004,1340612.5458984375,4700,1,0.30000000000000004,1334998.5612945557,4700,1,0.30000000000000004,1406848.9471740723,4700,1,0.30000000000000004,210972533.12591553,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,4690,400,400,400,4685,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,94.73684692382813,0,0,0,4.761904716491699,0,0,0,66480525312,2147479552,40882544640,0
199,1721499792143,2765493.4315490723,4700,1,0.30000000000000004,1423295.2317352295,4700,1,0.30000000000000004,1899693.2327423096,4700,1,0.30000000000000004,1546169.4785766602,4700,1,0.30000000000000004,1559468.7689056396,4700,1,0.30000000000000004,1566053.5483703613,4700,1,0.30000000000000004,1588241.4551391602,4700,1,0.30000000000000004,1666741.892425537,4700,1,0.30000000000000004,1842862.6787567139,4700,1,0.30000000000000004,1340612.564300537,4700,1,0.30000000000000004,1334998.5683135986,4700,1,0.30000000000000004,1406848.9533538818,4700,1,0.30000000000000004,210972542.5486908,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,400,4690,400,400,400,4685,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,100,0,0,0,100,0,4.761904716491699,0,0,0,0,0,66480525312,2147479552,40883757056,0
