Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721498637303,2763834.408920288,4700,1,0.30000000000000004,1422498.9409484863,4700,1,0.30000000000000004,1898716.2398529053,4700,1,0.30000000000000004,1545195.8573303223,4700,1,0.30000000000000004,1558692.7489013672,4700,1,0.30000000000000004,1565123.254486084,4700,1,0.30000000000000004,1587082.6872711182,4700,1,0.30000000000000004,1665603.6804351807,4700,1,0.30000000000000004,1841384.2161254883,4700,1,0.30000000000000004,1339894.8582000732,4700,1,0.30000000000000004,1334147.6131896973,4700,1,0.30000000000000004,1405914.583831787,4700,1,0.30000000000000004,210922614.77293396,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,400,400,8.69565200805664,0,0,0,0,0,0,0,100,0,0,0,0,0,4.761904716491699,0,0,0,0,0,4.545454502105713,0,0,0,66480525312,2147479552,40773750784,0
199,1721498637303,2763834.4188079834,4700,1,0.30000000000000004,1422498.9423675537,4700,1,0.30000000000000004,1898716.2549743652,4700,1,0.30000000000000004,1545195.8587341309,4700,1,0.30000000000000004,1558692.750366211,4700,1,0.30000000000000004,1565123.2557525635,4700,1,0.30000000000000004,1587082.697479248,4700,1,0.30000000000000004,1665603.6834106445,4700,1,0.30000000000000004,1841384.217086792,4700,1,0.30000000000000004,1339894.859161377,4700,1,0.30000000000000004,1334147.614074707,4700,1,0.30000000000000004,1405914.5847167969,4700,1,0.30000000000000004,210922614.9198761,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,400,400,8.69565200805664,0,0,0,0,0,0,0,100,0,0,0,0,0,4.761904716491699,0,0,0,0,0,4.545454502105713,0,0,0,66480525312,2147479552,40776847360,0
199,1721498637503,2763834.611022949,4700,1,0.30000000000000004,1422499.0298156738,4700,1,0.30000000000000004,1898716.4453735352,4700,1,0.30000000000000004,1545196.0433197021,4700,1,0.30000000000000004,1558692.952972412,4700,1,0.30000000000000004,1565123.5019226074,4700,1,0.30000000000000004,1587083.6900634766,4700,1,0.30000000000000004,1665603.8774261475,4700,1,0.30000000000000004,1841384.331878662,4700,1,0.30000000000000004,1339894.944519043,4700,1,0.30000000000000004,1334147.9560089111,4700,1,0.30000000000000004,1405914.7773895264,4700,1,0.30000000000000004,210922624.11302185,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,400,400,5,9.523809432983398,0,5,0,0,5,5,47.619049072265625,9.090909004211426,0,4.761904716491699,5.263157844543457,4.761904716491699,4.761904716491699,0,5,14.285715103149414,50,0,0,0,19.047618865966797,0,66480525312,2147479552,40784179200,0
199,1721498637703,2763834.8268585205,4700,1,0.30000000000000004,1422499.175643921,4700,1,0.30000000000000004,1898716.727355957,4700,1,0.30000000000000004,1545196.2388153076,4700,1,0.30000000000000004,1558693.1460418701,4700,1,0.30000000000000004,1565123.6781311035,4700,1,0.30000000000000004,1587084.6793670654,4700,1,0.30000000000000004,1665604.068206787,4700,1,0.30000000000000004,1841384.4260253906,4700,1,0.30000000000000004,1339895.0544433594,4700,1,0.30000000000000004,1334148.0903930664,4700,1,0.30000000000000004,1405914.9405059814,4700,1,0.30000000000000004,210922633.33364868,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,400,400,4.761904716491699,0,0,4.761904716491699,5,0,0,5,0,0,4.545454502105713,0,5,0,0,0,23.809524536132813,0,95,0,0,0,0,0,66480525312,2147479552,40781398016,0
199,1721498637903,2763835.086288452,4700,1,0.3125,1422499.3728179932,4700,1,0.3062499999999999,1898716.9233551025,4700,1,0.3062499999999999,1545196.5557098389,4700,1,0.3125,1558693.3702850342,4700,1,0.3125,1565123.936920166,4700,1,0.3125,1587085.6997528076,4700,1,0.3125,1665604.4495544434,4700,1,0.3125,1841384.7843780518,4700,1,0.3125,1339895.2969970703,4700,1,0.3125,1334148.3202514648,4700,1,0.3125,1405915.122177124,4700,1,0.3062499999999999,210922643.57344055,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,400,400,10.526315689086914,20,5.263157844543457,5.263157844543457,10,5,9.523809432983398,10.526315689086914,5,0,0,5,13.636363983154297,0,9.523809432983398,5.263157844543457,10,10,100,5.555555820465088,15.789472579956055,14.285715103149414,10.526315689086914,5.263157844543457,66480525312,2147479552,40912732160,0
199,1721498638103,2763835.209289551,4700,1,0.30000000000000004,1422499.5833740234,4700,1,0.30000000000000004,1898717.0345916748,4700,1,0.30000000000000004,1545196.6450805664,4700,1,0.30000000000000004,1558693.4172668457,4700,1,0.30000000000000004,1565124.000289917,4700,1,0.30000000000000004,1587086.7030181885,4700,1,0.30000000000000004,1665604.699005127,4700,1,0.30000000000000004,1841384.9551391602,4700,1,0.30000000000000004,1339895.392730713,4700,1,0.30000000000000004,1334148.4786834717,4700,1,0.30000000000000004,1405915.2307891846,4700,1,0.30000000000000004,210922652.0868683,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,400,400,10.526315689086914,20,5.263157844543457,5.263157844543457,10,5,9.523809432983398,10.526315689086914,5,0,0,5,13.636363983154297,0,9.523809432983398,5.263157844543457,10,10,100,5.555555820465088,15.789472579956055,14.285715103149414,10.526315689086914,5.263157844543457,66480525312,2147479552,40895700992,0
199,1721498638304,2763835.2284088135,4700,1,0.30000000000000004,1422499.6056518555,4700,1,0.30000000000000004,1898717.0485687256,4700,1,0.30000000000000004,1545196.653869629,4700,1,0.30000000000000004,1558693.4261322021,4700,1,0.30000000000000004,1565124.015472412,4700,1,0.30000000000000004,1587087.7066192627,4700,1,0.30000000000000004,1665604.9399108887,4700,1,0.30000000000000004,1841386.0908660889,4700,1,0.30000000000000004,1339895.4007415771,4700,1,0.30000000000000004,1334148.5289764404,4700,1,0.30000000000000004,1405915.2393188477,4700,1,0.30000000000000004,210922661.20393372,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,400,400,2.5,0,5,2.5,0,0,0,4.878048419952393,0,2.5,51.219512939453125,2.5,0,2.5,0,0,2.4390242099761963,0,100,2.4390242099761963,2.5,0,0,0,66480525312,2147479552,40903303168,0
199,1721498638504,2763835.38520813,4700,1,0.30000000000000004,1422499.629486084,4700,1,0.30000000000000004,1898717.061782837,4700,1,0.30000000000000004,1545196.6621551514,4700,1,0.30000000000000004,1558693.4328918457,4700,1,0.30000000000000004,1565124.0216064453,4700,1,0.30000000000000004,1587088.7028045654,4700,1,0.30000000000000004,1665605.054473877,4700,1,0.30000000000000004,1841387.1665039063,4700,1,0.30000000000000004,1339895.4257507324,4700,1,0.30000000000000004,1334148.5740966797,4700,1,0.30000000000000004,1405915.2484283447,4700,1,0.30000000000000004,210922670.28855896,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,400,400,0,0,0,4.761904716491699,0,0,0,0,0,0,90,4.761904716491699,0,0,0,0,0,0,100,0,0,0,0,0,66480525312,2147479552,40908161024,0
199,1721498638704,2763835.4111175537,4700,1,0.30000000000000004,1422499.6355895996,4700,1,0.30000000000000004,1898717.068283081,4700,1,0.30000000000000004,1545196.668762207,4700,1,0.30000000000000004,1558693.439163208,4700,1,0.30000000000000004,1565124.0396270752,4700,1,0.30000000000000004,1587089.704498291,4700,1,0.30000000000000004,1665605.2399749756,4700,1,0.30000000000000004,1841388.8118133545,4700,1,0.30000000000000004,1339895.433883667,4700,1,0.30000000000000004,1334148.5802459717,4700,1,0.30000000000000004,1405915.2546081543,4700,1,0.30000000000000004,210922679.71250916,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,400,400,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,66480525312,2147479552,40909709312,0
199,1721498638904,2763835.4269714355,4700,1,0.30000000000000004,1422499.6417236328,4700,1,0.30000000000000004,1898717.0748291016,4700,1,0.30000000000000004,1545196.676071167,4700,1,0.30000000000000004,1558693.4453277588,4700,1,0.30000000000000004,1565124.0466461182,4700,1,0.30000000000000004,1587090.7078399658,4700,1,0.30000000000000004,1665605.4744262695,4700,1,0.30000000000000004,1841390.2875061035,4700,1,0.30000000000000004,1339895.4401855469,4700,1,0.30000000000000004,1334148.5881958008,4700,1,0.30000000000000004,1405915.263015747,4700,1,0.30000000000000004,210922689.1289978,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,400,400,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,66480525312,2147479552,40914939904,0
