Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721506638126,2775092.498641968,4700,1,0.30000000000000004,1428233.78515625,4700,1,0.30000000000000004,1905727.4145965576,4700,1,0.30000000000000004,1551810.7991027832,4700,1,0.30000000000000004,1564349.780090332,4700,1,0.30000000000000004,1571570.0811462402,4700,1,0.30000000000000004,1594426.7357940674,4700,1,0.30000000000000004,1672980.1137390137,4700,1,0.30000000000000004,1850871.2025756836,4700,1,0.30000000000000004,1345908.5820770264,4700,1,0.30000000000000004,1340057.4755249023,4700,1,0.30000000000000004,1411765.4991455078,4700,1,0.30000000000000004,211267939.98016357,400,4689,400,400,400,400,400,4688,4689,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,0,0,0,4.1666669845581055,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,66480525312,2147479552,40737812480,0
199,1721506638126,2775092.5025634766,4700,1,0.30000000000000004,1428233.7864379883,4700,1,0.30000000000000004,1905727.4242401123,4700,1,0.30000000000000004,1551810.8010101318,4700,1,0.30000000000000004,1564349.7819519043,4700,1,0.30000000000000004,1571570.0830688477,4700,1,0.30000000000000004,1594426.7375030518,4700,1,0.30000000000000004,1672980.124130249,4700,1,0.30000000000000004,1850871.2131347656,4700,1,0.30000000000000004,1345908.583404541,4700,1,0.30000000000000004,1340057.4773712158,4700,1,0.30000000000000004,1411765.5004577637,4700,1,0.30000000000000004,211267940.080719,400,4689,400,400,400,400,400,4688,4689,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,0,0,0,4.1666669845581055,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,66480525312,2147479552,40741396480,0
199,1721506638327,2775092.795578003,4700,1,0.30000000000000004,1428234.0915679932,4700,1,0.30000000000000004,1905727.6341247559,4700,1,0.30000000000000004,1551811.089553833,4700,1,0.30000000000000004,1564350.0175323486,4700,1,0.30000000000000004,1571570.3549499512,4700,1,0.30000000000000004,1594426.9421081543,4700,1,0.30000000000000004,1672981.0940704346,4700,1,0.30000000000000004,1850871.4702148438,4700,1,0.30000000000000004,1345908.8278503418,4700,1,0.30000000000000004,1340057.880996704,4700,1,0.30000000000000004,1411765.8198699951,4700,1,0.30000000000000004,211267950.2191162,400,4689,400,400,400,400,400,4688,4689,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,9.090909004211426,0,5.263157844543457,9.523809432983398,0,5.263157844543457,0,0,0,0,9.523809432983398,5,0,15.000000953674316,10.526315689086914,10,0,5,4.761904716491699,95,0,13.636363983154297,15.000000953674316,9.523809432983398,66480525312,2147479552,40749682688,0
199,1721506638527,2775093.042617798,4700,1,0.30000000000000004,1428234.1518859863,4700,1,0.30000000000000004,1905727.7378082275,4700,1,0.30000000000000004,1551811.1952514648,4700,1,0.30000000000000004,1564350.0724487305,4700,1,0.30000000000000004,1571570.5013122559,4700,1,0.30000000000000004,1594427.0259552002,4700,1,0.30000000000000004,1672982.1223754883,4700,1,0.30000000000000004,1850871.521911621,4700,1,0.30000000000000004,1345908.8991851807,4700,1,0.30000000000000004,1340057.952468872,4700,1,0.30000000000000004,1411765.9134521484,4700,1,0.30000000000000004,211267958.5753479,400,4689,400,400,400,400,400,4688,4689,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,0,0,4.761904716491699,4.761904716491699,0,5,0,4.761904716491699,0,0,0,0,0,5,0,4.761904716491699,5,4.761904716491699,0,95.23809814453125,5,0,0,0,66480525312,2147479552,40750444544,0
199,1721506638727,2775093.240875244,4700,1,0.30000000000000004,1428234.3697662354,4700,1,0.30000000000000004,1905728.0026397705,4700,1,0.30000000000000004,1551811.447189331,4700,1,0.30000000000000004,1564350.3190002441,4700,1,0.30000000000000004,1571570.794265747,4700,1,0.30000000000000004,1594427.2256469727,4700,1,0.30000000000000004,1672983.170928955,4700,1,0.30000000000000004,1850871.780166626,4700,1,0.30000000000000004,1345909.3193817139,4700,1,0.30000000000000004,1340058.1940917969,4700,1,0.30000000000000004,1411766.2242279053,4700,1,0.30000000000000004,211267968.91368103,400,4689,400,400,400,400,400,4688,4689,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,13.636363983154297,10,10,14.285715103149414,9.523809432983398,15.000000953674316,9.523809432983398,10,5,78.94737243652344,10,15.000000953674316,5,5.263157844543457,10,0,0,5.263157844543457,5,26.3157901763916,5,15.000000953674316,10,15.000000953674316,66480525312,2147479552,40873062400,0
199,1721506638927,2775093.3297576904,4700,1,0.30000000000000004,1428234.466796875,4700,1,0.30000000000000004,1905728.154586792,4700,1,0.30000000000000004,1551811.4797363281,4700,1,0.30000000000000004,1564350.370223999,4700,1,0.30000000000000004,1571570.8705291748,4700,1,0.30000000000000004,1594427.3767242432,4700,1,0.30000000000000004,1672984.2026062012,4700,1,0.30000000000000004,1850872.1760101318,4700,1,0.30000000000000004,1345909.4682312012,4700,1,0.30000000000000004,1340058.3667755127,4700,1,0.30000000000000004,1411766.3724060059,4700,1,0.30000000000000004,211267977.64283752,400,4689,400,400,400,400,400,4688,4689,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,0,0,0,5,0,4.761904716491699,5,0,5,100,15.789472579956055,0,0,4.761904716491699,9.523809432983398,5,5,0,0,0,15.000000953674316,0,0,0,66480525312,2147479552,40861245440,0
199,1721506639127,2775093.339553833,4700,1,0.30000000000000004,1428234.4734344482,4700,1,0.30000000000000004,1905728.1753845215,4700,1,0.30000000000000004,1551811.4875335693,4700,1,0.30000000000000004,1564350.3793487549,4700,1,0.30000000000000004,1571570.879486084,4700,1,0.30000000000000004,1594427.38381958,4700,1,0.30000000000000004,1672985.21534729,4700,1,0.30000000000000004,1850873.3383483887,4700,1,0.30000000000000004,1345909.4838562012,4700,1,0.30000000000000004,1340058.567993164,4700,1,0.30000000000000004,1411766.3870544434,4700,1,0.30000000000000004,211267986.80773926,400,4689,400,400,400,400,400,4688,4689,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,0,0,0,0,0,0,0,0,0,100,95,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40868634624,0
199,1721506639327,2775093.3623809814,4700,1,0.30000000000000004,1428234.4803009033,4700,1,0.30000000000000004,1905728.188659668,4700,1,0.30000000000000004,1551811.5086517334,4700,1,0.30000000000000004,1564350.3960113525,4700,1,0.30000000000000004,1571570.8995666504,4700,1,0.30000000000000004,1594427.40184021,4700,1,0.30000000000000004,1672986.234954834,4700,1,0.30000000000000004,1850874.6185455322,4700,1,0.30000000000000004,1345909.5623931885,4700,1,0.30000000000000004,1340058.7724609375,4700,1,0.30000000000000004,1411766.3946990967,4700,1,0.30000000000000004,211267996.12823486,400,4689,400,400,400,400,400,4688,4689,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,0,0,0,0,0,0,0,0,0,100,95,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40872423424,0
199,1721506639527,2775093.3689422607,4700,1,0.30000000000000004,1428234.4864349365,4700,1,0.30000000000000004,1905728.210144043,4700,1,0.30000000000000004,1551811.5162658691,4700,1,0.30000000000000004,1564350.4022369385,4700,1,0.30000000000000004,1571570.9080963135,4700,1,0.30000000000000004,1594427.408065796,4700,1,0.30000000000000004,1672987.255493164,4700,1,0.30000000000000004,1850876.2577972412,4700,1,0.30000000000000004,1345909.5687103271,4700,1,0.30000000000000004,1340058.9611358643,4700,1,0.30000000000000004,1411766.4066925049,4700,1,0.30000000000000004,211268005.566864,400,4689,400,400,400,400,400,4688,4689,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,0,0,0,2.4390242099761963,0,0,0,0,0,100,95.1219482421875,0,0,0,0,0,0,0,2.5,0,2.4390242099761963,0,0,0,66480525312,2147479552,40873701376,0
199,1721506639727,2775093.376159668,4700,1,0.30000000000000004,1428234.4935760498,4700,1,0.30000000000000004,1905728.2306518555,4700,1,0.30000000000000004,1551811.533279419,4700,1,0.30000000000000004,1564350.5312042236,4700,1,0.30000000000000004,1571570.9173583984,4700,1,0.30000000000000004,1594427.4143371582,4700,1,0.30000000000000004,1672988.2726745605,4700,1,0.30000000000000004,1850877.4240875244,4700,1,0.30000000000000004,1345909.5773162842,4700,1,0.30000000000000004,1340059.1556396484,4700,1,0.30000000000000004,1411766.4132995605,4700,1,0.30000000000000004,211268014.81394958,400,4689,400,400,400,400,400,4688,4689,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,0,0,0,4.761904716491699,0,0,5.263157844543457,0,0,100,89.47368621826172,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,66480525312,2147479552,40879042560,0
