Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721501606106,2768144.4712524414,4700,1,0.30000000000000004,1424761.8550109863,4700,1,0.30000000000000004,1901228.0379486084,4700,1,0.30000000000000004,1547757.9433441162,4700,1,0.30000000000000004,1560624.8261871338,4700,1,0.30000000000000004,1567482.2955932617,4700,1,0.30000000000000004,1589788.8114471436,4700,1,0.30000000000000004,1668220.55078125,4700,1,0.30000000000000004,1844752.0471191406,4700,1,0.30000000000000004,1342266.939529419,4700,1,0.30000000000000004,1336434.2218322754,4700,1,0.30000000000000004,1408233.8460845947,4700,1,0.30000000000000004,211050979.32569885,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,3.846153974533081,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846153974533081,0,0,0,0,0,0,66480525312,2147479552,40754372608,0
199,1721501606107,2768144.4740753174,4700,1,0.30000000000000004,1424761.8562316895,4700,1,0.30000000000000004,1901228.0472564697,4700,1,0.30000000000000004,1547757.958404541,4700,1,0.30000000000000004,1560624.8370056152,4700,1,0.30000000000000004,1567482.2972106934,4700,1,0.30000000000000004,1589788.8135223389,4700,1,0.30000000000000004,1668220.552597046,4700,1,0.30000000000000004,1844752.049545288,4700,1,0.30000000000000004,1342266.9396514893,4700,1,0.30000000000000004,1336434.2230529785,4700,1,0.30000000000000004,1408233.847366333,4700,1,0.30000000000000004,211050979.4272766,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,3.846153974533081,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846153974533081,0,0,0,0,0,0,66480525312,2147479552,40757469184,0
199,1721501606307,2768144.699447632,4700,1,0.30000000000000004,1424762.0257110596,4700,1,0.30000000000000004,1901228.9634857178,4700,1,0.30000000000000004,1547758.111114502,4700,1,0.30000000000000004,1560625.0995788574,4700,1,0.30000000000000004,1567482.3805236816,4700,1,0.30000000000000004,1589789.170425415,4700,1,0.30000000000000004,1668220.7749023438,4700,1,0.30000000000000004,1844752.2656097412,4700,1,0.30000000000000004,1342267.0407867432,4700,1,0.30000000000000004,1336434.378250122,4700,1,0.30000000000000004,1408234.0594940186,4700,1,0.30000000000000004,211050988.73797607,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,4.761904716491699,9.090909004211426,4.761904716491699,95,5,4.761904716491699,10,0,10.526315689086914,4.761904716491699,0,0,5,0,4.761904716491699,0,9.090909004211426,0,15.789472579956055,13.636363983154297,0,0,0,4.761904716491699,66480525312,2147479552,40769245184,0
199,1721501606507,2768144.837890625,4700,1,0.30000000000000004,1424762.1868743896,4700,1,0.30000000000000004,1901229.870223999,4700,1,0.30000000000000004,1547758.220123291,4700,1,0.30000000000000004,1560625.2737426758,4700,1,0.30000000000000004,1567482.5079345703,4700,1,0.30000000000000004,1589789.2920532227,4700,1,0.30000000000000004,1668220.9372558594,4700,1,0.30000000000000004,1844752.393295288,4700,1,0.30000000000000004,1342267.1033325195,4700,1,0.30000000000000004,1336434.4490203857,4700,1,0.30000000000000004,1408234.2579040527,4700,1,0.30000000000000004,211050997.42774963,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,0,0,0,95,0,0,10,0,0,0,0,4.761904716491699,0,0,0,0,0,4.761904716491699,4.761904716491699,5.263157844543457,0,0,0,0,66480525312,2147479552,40773042176,0
199,1721501606707,2768145.200958252,4700,1,0.30000000000000004,1424762.4201965332,4700,1,0.30000000000000004,1901230.84034729,4700,1,0.30000000000000004,1547758.7669372559,4700,1,0.30000000000000004,1560625.6491851807,4700,1,0.30000000000000004,1567482.8454742432,4700,1,0.30000000000000004,1589789.65625,4700,1,0.30000000000000004,1668221.4127044678,4700,1,0.30000000000000004,1844752.6250457764,4700,1,0.30000000000000004,1342267.2884674072,4700,1,0.30000000000000004,1336434.7577514648,4700,1,0.30000000000000004,1408234.4553375244,4700,1,0.30000000000000004,211051008.29718018,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,15.000000953674316,20,5.263157844543457,100,10.526315689086914,15.789472579956055,14.285715103149414,10,15.000000953674316,15.789472579956055,14.285715103149414,5.263157844543457,15.000000953674316,5,9.523809432983398,5,5.263157844543457,5.263157844543457,15.789472579956055,11.111111640930176,0,5,0,5,66480525312,2147479552,40894365696,0
199,1721501606907,2768145.3997192383,4700,1,0.30000000000000004,1424762.4363861084,4700,1,0.30000000000000004,1901231.7841339111,4700,1,0.30000000000000004,1547759.015258789,4700,1,0.30000000000000004,1560625.8281860352,4700,1,0.30000000000000004,1567482.91305542,4700,1,0.30000000000000004,1589789.8418121338,4700,1,0.30000000000000004,1668221.7421569824,4700,1,0.30000000000000004,1844752.6687164307,4700,1,0.30000000000000004,1342267.3497161865,4700,1,0.30000000000000004,1336435.0084228516,4700,1,0.30000000000000004,1408234.49659729,4700,1,0.30000000000000004,211051016.924469,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,0,10,0,5,0,0,4.761904716491699,0,0,5,0,0,0,0,4.761904716491699,0,95,4.761904716491699,0,23.809524536132813,0,0,4.761904716491699,0,66480525312,2147479552,40872931328,0
199,1721501607107,2768145.4274749756,4700,1,0.30000000000000004,1424762.442779541,4700,1,0.30000000000000004,1901232.7228393555,4700,1,0.30000000000000004,1547759.035369873,4700,1,0.30000000000000004,1560625.8346862793,4700,1,0.30000000000000004,1567482.9197235107,4700,1,0.30000000000000004,1589789.8604431152,4700,1,0.30000000000000004,1668222.9952697754,4700,1,0.30000000000000004,1844752.6768188477,4700,1,0.30000000000000004,1342267.356048584,4700,1,0.30000000000000004,1336435.2044830322,4700,1,0.30000000000000004,1408234.50390625,4700,1,0.30000000000000004,211051026.07284546,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,4.761904716491699,0,0,0,0,0,0,0,0,85,4.761904716491699,0,0,0,0,0,100,0,0,10.526315689086914,0,0,0,0,66480525312,2147479552,40879988736,0
199,1721501607307,2768145.473373413,4700,1,0.30000000000000004,1424762.4529266357,4700,1,0.30000000000000004,1901233.6659698486,4700,1,0.30000000000000004,1547759.131011963,4700,1,0.30000000000000004,1560625.8489990234,4700,1,0.30000000000000004,1567482.9283294678,4700,1,0.30000000000000004,1589789.8734588623,4700,1,0.30000000000000004,1668224.3236083984,4700,1,0.30000000000000004,1844752.683746338,4700,1,0.30000000000000004,1342267.3622894287,4700,1,0.30000000000000004,1336435.2560424805,4700,1,0.30000000000000004,1408234.6149139404,4700,1,0.30000000000000004,211051035.21424866,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,0,0,0,0,4.761904716491699,0,0,0,5,90.47618865966797,0,0,0,4.761904716491699,0,0,100,0,0,0,0,0,0,0,66480525312,2147479552,40884109312,0
199,1721501607507,2768145.4803619385,4700,1,0.30000000000000004,1424762.459060669,4700,1,0.30000000000000004,1901234.6094207764,4700,1,0.30000000000000004,1547759.1434783936,4700,1,0.30000000000000004,1560625.8551940918,4700,1,0.30000000000000004,1567482.9376068115,4700,1,0.30000000000000004,1589789.8796844482,4700,1,0.30000000000000004,1668226.0715942383,4700,1,0.30000000000000004,1844752.6902770996,4700,1,0.30000000000000004,1342267.3684539795,4700,1,0.30000000000000004,1336435.2621765137,4700,1,0.30000000000000004,1408234.8090057373,4700,1,0.30000000000000004,211051044.77233887,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,0,4.761904716491699,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,66480525312,2147479552,40884760576,0
199,1721501607707,2768145.4900360107,4700,1,0.30000000000000004,1424762.4663848877,4700,1,0.30000000000000004,1901235.548904419,4700,1,0.30000000000000004,1547759.1649780273,4700,1,0.30000000000000004,1560625.9398651123,4700,1,0.30000000000000004,1567482.9487457275,4700,1,0.30000000000000004,1589789.8866271973,4700,1,0.30000000000000004,1668227.3840026855,4700,1,0.30000000000000004,1844752.6964416504,4700,1,0.30000000000000004,1342267.3745574951,4700,1,0.30000000000000004,1336435.2716827393,4700,1,0.30000000000000004,1408235.001815796,4700,1,0.30000000000000004,211051054.07551575,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,4689,400,0,0,0,0,0,0,9.523809432983398,0,0,90,0,0,0,0,0,0,100,0,0,0,0,0,0,0,66480525312,2147479552,40890290176,0
