Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721504239466,2771763.8391571045,4700,1,0.30000000000000004,1426552.9338684082,4700,1,0.30000000000000004,1903601.1166687012,4700,1,0.30000000000000004,1549952.7914581299,4700,1,0.30000000000000004,1562567.3168487549,4700,1,0.30000000000000004,1569598.5873565674,4700,1,0.30000000000000004,1592192.7306365967,4700,1,0.30000000000000004,1670493.8545684814,4700,1,0.30000000000000004,1848287.0011291504,4700,1,0.30000000000000004,1344334.8263397217,4700,1,0.30000000000000004,1338267.620376587,4700,1,0.30000000000000004,1409930.0025482178,4700,1,0.30000000000000004,211164542.6366272,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4689,400,400,4689,400,400,0,100,0,0,0,0,0,4,0,0,0,0,7.692307949066162,0,0,0,0,0,0,3.846153974533081,0,0,0,3.846153974533081,66480525312,2147479552,40741253120,0
199,1721504239467,2771763.8410339355,4700,1,0.30000000000000004,1426552.9346923828,4700,1,0.30000000000000004,1903601.117843628,4700,1,0.30000000000000004,1549952.8015594482,4700,1,0.30000000000000004,1562567.3270874023,4700,1,0.30000000000000004,1569598.5885620117,4700,1,0.30000000000000004,1592192.7318115234,4700,1,0.30000000000000004,1670493.8570251465,4700,1,0.30000000000000004,1848287.0112609863,4700,1,0.30000000000000004,1344334.827255249,4700,1,0.30000000000000004,1338267.621231079,4700,1,0.30000000000000004,1409930.0033874512,4700,1,0.30000000000000004,211164542.73365784,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4689,400,400,4689,400,400,0,100,0,0,0,0,0,4,0,0,0,0,7.692307949066162,0,0,0,0,0,0,3.846153974533081,0,0,0,3.846153974533081,66480525312,2147479552,40743317504,0
199,1721504239667,2771764.1062316895,4700,1,0.30000000000000004,1426553.0914459229,4700,1,0.30000000000000004,1903601.3470153809,4700,1,0.30000000000000004,1549953.733718872,4700,1,0.30000000000000004,1562567.575744629,4700,1,0.30000000000000004,1569598.8407745361,4700,1,0.30000000000000004,1592192.959350586,4700,1,0.30000000000000004,1670494.0646820068,4700,1,0.30000000000000004,1848287.4131317139,4700,1,0.30000000000000004,1344335.02444458,4700,1,0.30000000000000004,1338267.9366912842,4700,1,0.30000000000000004,1409930.2109375,4700,1,0.30000000000000004,211164552.3560791,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4689,400,400,4689,400,400,0,90.47618865966797,0,5.263157844543457,9.523809432983398,5,5,5,0,4.761904716491699,4.761904716491699,9.090909004211426,0,9.523809432983398,5,0,0,0,0,0,20,9.523809432983398,9.090909004211426,0,66480525312,2147479552,40749895680,0
199,1721504239867,2771764.200942993,4700,1,0.30000000000000004,1426553.1302490234,4700,1,0.30000000000000004,1903601.3765563965,4700,1,0.30000000000000004,1549953.98046875,4700,1,0.30000000000000004,1562567.6508636475,4700,1,0.30000000000000004,1569598.852142334,4700,1,0.30000000000000004,1592193.1539459229,4700,1,0.30000000000000004,1670494.1036224365,4700,1,0.30000000000000004,1848287.615951538,4700,1,0.30000000000000004,1344335.0557861328,4700,1,0.30000000000000004,1338268.0156402588,4700,1,0.30000000000000004,1409930.9600524902,4700,1,0.30000000000000004,211164560.4127655,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4689,400,400,4689,400,400,0,20,0,0,0,4.761904716491699,0,0,4.761904716491699,5,0,0,4.761904716491699,0,80,0,0,0,0,0,0,0,5.263157844543457,0,66480525312,2147479552,40743944192,0
199,1721504240067,2771764.334838867,4700,1,0.30000000000000004,1426553.2006225586,4700,1,0.30000000000000004,1903601.4622039795,4700,1,0.30000000000000004,1549953.999343872,4700,1,0.30000000000000004,1562567.75440979,4700,1,0.30000000000000004,1569598.9577789307,4700,1,0.30000000000000004,1592193.3485412598,4700,1,0.30000000000000004,1670494.1506652832,4700,1,0.30000000000000004,1848287.837097168,4700,1,0.30000000000000004,1344335.1409606934,4700,1,0.30000000000000004,1338268.0903625488,4700,1,0.30000000000000004,1409931.90725708,4700,1,0.30000000000000004,211164568.93008423,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4689,400,400,4689,400,400,0,0,0,5,4.761904716491699,0,0,5,0,0,0,0,0,0,100,0,0,5,0,0,0,4.761904716491699,0,0,66480525312,2147479552,40743682048,0
199,1721504240267,2771764.4749298096,4700,1,0.30000000000000004,1426553.3660125732,4700,1,0.30000000000000004,1903601.592376709,4700,1,0.30000000000000004,1549954.149093628,4700,1,0.30000000000000004,1562567.951828003,4700,1,0.30000000000000004,1569599.134552002,4700,1,0.30000000000000004,1592193.607559204,4700,1,0.30000000000000004,1670494.2959747314,4700,1,0.30000000000000004,1848288.0408935547,4700,1,0.30000000000000004,1344335.3190307617,4700,1,0.30000000000000004,1338268.315170288,4700,1,0.30000000000000004,1409932.857925415,4700,1,0.30000000000000004,211164578.19656372,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4689,400,400,4689,400,400,5.263157844543457,0,5,5,0,10,10,10,5,10,5,5.263157844543457,5.263157844543457,5.263157844543457,50,5.263157844543457,5,5,10,5,5,10,0,52.38095474243164,66480525312,2147479552,40835784704,0
199,1721504240467,2771764.6645965576,4700,1,0.30000000000000004,1426553.4497680664,4700,1,0.3062499999999999,1903601.7376098633,4700,1,0.3062499999999999,1549954.2405853271,4700,1,0.3062499999999999,1562568.1980895996,4700,1,0.3062499999999999,1569599.3212127686,4700,1,0.3062499999999999,1592193.7977294922,4700,1,0.3062499999999999,1670494.453048706,4700,1,0.3062499999999999,1848288.072418213,4700,1,0.3062499999999999,1344335.5033111572,4700,1,0.3062499999999999,1338268.4386138916,4700,1,0.3062499999999999,1409933.815979004,4700,1,0.3062499999999999,211164586.93110657,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4689,400,400,4689,400,400,0,4.761904716491699,0,5.263157844543457,0,0,0,10,5,4.761904716491699,0,0,10.526315689086914,0,0,0,0,0,0,0,0,5.555555820465088,0,100,66480525312,2147479552,40850550784,0
199,1721504240667,2771764.7833251953,4700,1,0.30000000000000004,1426553.4922790527,4700,1,0.30000000000000004,1903601.9269866943,4700,1,0.30000000000000004,1549954.3629760742,4700,1,0.30000000000000004,1562568.3858184814,4700,1,0.30000000000000004,1569600.163406372,4700,1,0.30000000000000004,1592193.8441925049,4700,1,0.30000000000000004,1670494.5751800537,4700,1,0.30000000000000004,1848288.1249389648,4700,1,0.30000000000000004,1344335.6187286377,4700,1,0.30000000000000004,1338268.5301208496,4700,1,0.30000000000000004,1409934.7631072998,4700,1,0.30000000000000004,211164596.10821533,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4689,400,400,4689,400,400,0,5.263157844543457,0,0,0,0,0,0,5,5,0,0,4.761904716491699,0,5,0,0,61.904762268066406,0,0,4.761904716491699,4.761904716491699,9.523809432983398,100,66480525312,2147479552,40853360640,0
199,1721504240867,2771764.7992248535,4700,1,0.30000000000000004,1426553.5018615723,4700,1,0.30000000000000004,1903602.1293029785,4700,1,0.30000000000000004,1549954.374862671,4700,1,0.30000000000000004,1562568.40965271,4700,1,0.30000000000000004,1569600.9283752441,4700,1,0.30000000000000004,1592194.3103637695,4700,1,0.30000000000000004,1670494.5842132568,4700,1,0.30000000000000004,1848288.1437683105,4700,1,0.30000000000000004,1344335.6284484863,4700,1,0.30000000000000004,1338268.5401153564,4700,1,0.30000000000000004,1409935.6952514648,4700,1,0.30000000000000004,211164605.1967163,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4689,400,400,4689,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.15789031982422,35,0,0,0,0,100,66480525312,2147479552,40859910144,0
199,1721504241067,2771764.8070983887,4700,1,0.30000000000000004,1426553.5101165771,4700,1,0.30000000000000004,1903602.3257598877,4700,1,0.30000000000000004,1549954.434387207,4700,1,0.30000000000000004,1562568.4289855957,4700,1,0.30000000000000004,1569600.9376220703,4700,1,0.30000000000000004,1592195.8264312744,4700,1,0.30000000000000004,1670494.5906677246,4700,1,0.30000000000000004,1848288.1499481201,4700,1,0.30000000000000004,1344335.6349639893,4700,1,0.30000000000000004,1338268.5471496582,4700,1,0.30000000000000004,1409936.6314849854,4700,1,0.30000000000000004,211164614.49250793,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4689,400,400,4689,400,400,0,0,0,0,0,0,0,0,61.904762268066406,0,0,0,0,4.761904716491699,0,0,0,0,26.3157901763916,0,0,0,0,100,66480525312,2147479552,40862281728,0
