Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721500563334,2766728.036010742,4700,1,0.30000000000000004,1423936.2589416504,4700,1,0.30000000000000004,1900323.060623169,4700,1,0.30000000000000004,1547033.167892456,4700,1,0.30000000000000004,1559925.4348144531,4700,1,0.30000000000000004,1566679.2572784424,4700,1,0.30000000000000004,1588951.4533691406,4700,1,0.30000000000000004,1667366.3173065186,4700,1,0.30000000000000004,1843640.2926330566,4700,1,0.30000000000000004,1341269.290863037,4700,1,0.30000000000000004,1335551.0364685059,4700,1,0.30000000000000004,1407390.2951049805,4700,1,0.30000000000000004,211005937.30410767,4690,400,400,400,400,4690,400,400,400,4688,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3.846153974533081,0,0,0,0,0,0,0,66480525312,2147479552,40739528704,0
199,1721500563335,2766728.038131714,4700,1,0.30000000000000004,1423936.2601776123,4700,1,0.30000000000000004,1900323.0752716064,4700,1,0.30000000000000004,1547033.1779632568,4700,1,0.30000000000000004,1559925.4378356934,4700,1,0.30000000000000004,1566679.2584533691,4700,1,0.30000000000000004,1588951.4545288086,4700,1,0.30000000000000004,1667366.3184661865,4700,1,0.30000000000000004,1843640.2945098877,4700,1,0.30000000000000004,1341269.2927398682,4700,1,0.30000000000000004,1335551.038986206,4700,1,0.30000000000000004,1407390.306488037,4700,1,0.30000000000000004,211005937.44953918,4690,400,400,400,400,4690,400,400,400,4688,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3.846153974533081,0,0,0,0,0,0,0,66480525312,2147479552,40742109184,0
199,1721500563535,2766728.297454834,4700,1,0.30000000000000004,1423936.5574188232,4700,1,0.30000000000000004,1900323.3137512207,4700,1,0.30000000000000004,1547033.745666504,4700,1,0.30000000000000004,1559925.8257293701,4700,1,0.30000000000000004,1566679.4868469238,4700,1,0.30000000000000004,1588952.031906128,4700,1,0.30000000000000004,1667366.5819702148,4700,1,0.30000000000000004,1843640.5914154053,4700,1,0.30000000000000004,1341269.557510376,4700,1,0.30000000000000004,1335551.374282837,4700,1,0.30000000000000004,1407390.58694458,4700,1,0.30000000000000004,211005947.50559998,4690,400,400,400,400,4690,400,400,400,4688,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,4.761904716491699,0,4.761904716491699,0,9.523809432983398,47.619049072265625,13.636363983154297,0,42.85714340209961,4.761904716491699,0,14.285715103149414,5.263157844543457,10,4.761904716491699,13.636363983154297,5,0,0,0,10.526315689086914,4.761904716491699,0,10,66480525312,2147479552,40754454528,0
199,1721500563735,2766728.7870178223,4700,1,0.30000000000000004,1423936.9536437988,4700,1,0.30000000000000004,1900323.6085510254,4700,1,0.30000000000000004,1547034.0309143066,4700,1,0.30000000000000004,1559926.2259979248,4700,1,0.30000000000000004,1566679.692703247,4700,1,0.30000000000000004,1588953.0980377197,4700,1,0.30000000000000004,1667366.8285980225,4700,1,0.30000000000000004,1843640.9128112793,4700,1,0.30000000000000004,1341269.8960723877,4700,1,0.30000000000000004,1335551.805343628,4700,1,0.30000000000000004,1407390.8061676025,4700,1,0.30000000000000004,211005958.30052185,4690,400,400,400,400,4690,400,400,400,4688,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,5.555555820465088,10.526315689086914,10.526315689086914,14.285715103149414,19.047618865966797,0,5,0,100,5.263157844543457,10.526315689086914,5,25,10,0,20,10,5,15.000000953674316,0,5.263157844543457,19.047618865966797,28.571430206298828,14.285715103149414,66480525312,2147479552,40881602560,0
199,1721500563935,2766729.029663086,4700,1,0.30000000000000004,1423937.0821990967,4700,1,0.30000000000000004,1900324.0300445557,4700,1,0.30000000000000004,1547034.147857666,4700,1,0.30000000000000004,1559926.4322052002,4700,1,0.30000000000000004,1566679.7568511963,4700,1,0.30000000000000004,1588954.1015777588,4700,1,0.30000000000000004,1667366.8829345703,4700,1,0.30000000000000004,1843641.065109253,4700,1,0.30000000000000004,1341269.97315979,4700,1,0.30000000000000004,1335551.8612060547,4700,1,0.30000000000000004,1407390.8984527588,4700,1,0.30000000000000004,211005967.3695984,4690,400,400,400,400,4690,400,400,400,4688,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,4.761904716491699,4.761904716491699,0,5,0,0,0,0,100,0,0,5,4.761904716491699,0,0,5,22.22222328186035,0,0,0,9.523809432983398,0,0,0,66480525312,2147479552,40864243712,0
199,1721500564135,2766729.258453369,4700,1,0.30000000000000004,1423938.252105713,4700,1,0.30000000000000004,1900324.0504760742,4700,1,0.30000000000000004,1547034.1561889648,4700,1,0.30000000000000004,1559926.4514160156,4700,1,0.30000000000000004,1566679.763168335,4700,1,0.30000000000000004,1588955.1004486084,4700,1,0.30000000000000004,1667366.8891448975,4700,1,0.30000000000000004,1843641.0799865723,4700,1,0.30000000000000004,1341269.9795074463,4700,1,0.30000000000000004,1335551.8675231934,4700,1,0.30000000000000004,1407390.9050292969,4700,1,0.30000000000000004,211005976.32281494,4690,400,400,400,400,4690,400,400,400,4688,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,66480525312,2147479552,40869859328,0
199,1721500564335,2766729.4903411865,4700,1,0.30000000000000004,1423939.4979858398,4700,1,0.30000000000000004,1900324.073348999,4700,1,0.30000000000000004,1547034.2346191406,4700,1,0.30000000000000004,1559926.4587249756,4700,1,0.30000000000000004,1566679.7723693848,4700,1,0.30000000000000004,1588956.1008758545,4700,1,0.30000000000000004,1667366.899597168,4700,1,0.30000000000000004,1843641.0980987549,4700,1,0.30000000000000004,1341269.9909057617,4700,1,0.30000000000000004,1335551.8746032715,4700,1,0.30000000000000004,1407390.911682129,4700,1,0.30000000000000004,211005985.36386108,4690,400,400,400,400,4690,400,400,400,4688,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,66480525312,2147479552,40873463808,0
199,1721500564535,2766729.6229553223,4700,1,0.30000000000000004,1423941.148513794,4700,1,0.30000000000000004,1900324.0953979492,4700,1,0.30000000000000004,1547034.240951538,4700,1,0.30000000000000004,1559926.4854888916,4700,1,0.30000000000000004,1566679.778640747,4700,1,0.30000000000000004,1588957.1038208008,4700,1,0.30000000000000004,1667366.9059143066,4700,1,0.30000000000000004,1843641.1191101074,4700,1,0.30000000000000004,1341270.0077667236,4700,1,0.30000000000000004,1335551.8808135986,4700,1,0.30000000000000004,1407390.9178619385,4700,1,0.30000000000000004,211005994.73254395,4690,400,400,400,400,4690,400,400,400,4688,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,0,0,4.761904716491699,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,66480525312,2147479552,40874897408,0
199,1721500564735,2766729.6311950684,4700,1,0.30000000000000004,1423942.4412384033,4700,1,0.30000000000000004,1900324.1109161377,4700,1,0.30000000000000004,1547034.253616333,4700,1,0.30000000000000004,1559926.515335083,4700,1,0.30000000000000004,1566679.7858276367,4700,1,0.30000000000000004,1588958.10105896,4700,1,0.30000000000000004,1667366.9130249023,4700,1,0.30000000000000004,1843641.133758545,4700,1,0.30000000000000004,1341270.0141143799,4700,1,0.30000000000000004,1335551.8872833252,4700,1,0.30000000000000004,1407390.9241638184,4700,1,0.30000000000000004,211006003.7829895,4690,400,400,400,400,4690,400,400,400,4688,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,4.761904716491699,0,0,0,0,0,0,4.761904716491699,100,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,66480525312,2147479552,40880369664,0
199,1721500564936,2766730.30758667,4700,1,0.30000000000000004,1423942.894378662,4700,1,0.30000000000000004,1900324.3794555664,4700,1,0.30000000000000004,1547034.492553711,4700,1,0.30000000000000004,1559926.6915740967,4700,1,0.30000000000000004,1566679.8261871338,4700,1,0.30000000000000004,1588959.1021575928,4700,1,0.30000000000000004,1667367.0547180176,4700,1,0.30000000000000004,1843641.689163208,4700,1,0.30000000000000004,1341270.3967132568,4700,1,0.30000000000000004,1335551.9200897217,4700,1,0.30000000000000004,1407390.9481048584,4700,1,0.30000000000000004,211006014.23468018,4690,400,400,400,400,4690,400,400,400,4688,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,0,14.285715103149414,0,0,36.842105865478516,0,0,0,100,0,21.052631378173828,28.571430206298828,0,0,0,27.77777862548828,20,0,0,0,21.052631378173828,0,0,0,66480525312,2147479552,40894906368,0
